group,measure,unit,n_windows,median,q1,q3,iqr,minimum,maximum
All,Fit R2,unitless,872,0.973794379,0.9593334028,0.9858312258,0.02649782299,0.9006727224,0.9976203404
All,Minimum fit-pair support,pairs,872,1414,1403,1424,21,1366,2873
All,Theiler time,s,872,0.5012625538,0.4511350995,0.5525836486,0.1014485492,0.3667797623,0.6443755831
All,LLE,1/s,872,0.803081555,0.7437164398,0.8647789612,0.1210625214,0.5614065019,1.081864921
Awake,Fit R2,unitless,579,0.9755208179,0.9600174718,0.986431235,0.02641376325,0.9015262178,0.9976203404
Awake,Minimum fit-pair support,pairs,579,1413,1403,1423,20,1366,2862
Awake,Theiler time,s,579,0.5066248375,0.4605677651,0.5610530545,0.1004852894,0.3667797623,0.6443755831
Awake,LLE,1/s,579,0.815627362,0.754388985,0.8755077115,0.1211187265,0.5614065019,1.081864921
Drowsy,Fit R2,unitless,293,0.9712016296,0.9553680309,0.9836449603,0.0282769294,0.9006727224,0.997595389
Drowsy,Minimum fit-pair support,pairs,293,1415,1404,1425,21,1370,2873
Drowsy,Theiler time,s,293,0.485608288,0.4383351292,0.5339573233,0.09562219412,0.3770164882,0.6106145121
Drowsy,LLE,1/s,293,0.7797110872,0.7262718885,0.835890284,0.1096183956,0.5783903121,1.039301299
