session,representation,window_size_s,n_valid_windows_awake,lle_awake,median_fit_r2_awake,n_valid_windows_drowsy,lle_drowsy,median_fit_r2_drowsy,delta_lle_drowsy_minus_awake
1,Processed,60,24,0.9363806938,0.9893910542,7,0.8508454421,0.9891663327,-0.0855352517
4,Processed,60,29,0.8082048466,0.9764534952,17,0.758851326,0.9778498108,-0.04935352063
5,Processed,60,33,0.7628833744,0.9826778573,16,0.694129219,0.9740342304,-0.06875415541
6,Processed,60,30,0.8256898205,0.9720868968,17,0.8046403291,0.97454481,-0.02104949134
7,Processed,60,34,0.8573768181,0.9689206069,10,0.8043501494,0.9639381623,-0.05302666866
8,Processed,60,36,0.8532027863,0.9778860603,10,0.8126271799,0.9789534618,-0.04057560649
9,Processed,60,40,0.7538726861,0.9619244733,17,0.7618431815,0.9717811585,0.007970495453
10,Processed,60,27,0.8906673185,0.9854626956,9,0.82944219,0.9723413785,-0.06122512849
11,Processed,60,19,0.8437742721,0.975561561,18,0.8188726761,0.9780744788,-0.02490159601
12,Processed,60,20,0.7697401216,0.9457695993,33,0.7728564744,0.9547406997,0.003116352804
13,Processed,60,25,0.7834380338,0.9784028726,23,0.8029733651,0.9865563861,0.01953533128
14,Processed,60,26,0.8018279193,0.9682970137,14,0.7100971949,0.957879397,-0.09173072439
15,Processed,60,28,0.7904421507,0.9716700933,6,0.786460296,0.9665562151,-0.003981854744
17,Processed,60,28,0.8494964506,0.9814147714,14,0.8192815445,0.9710671976,-0.03021490614
18,Processed,60,18,0.7094166847,0.9623695721,20,0.7559050314,0.9643990455,0.0464883467
19,Processed,60,33,0.8136185801,0.9730940649,10,0.779053464,0.964789854,-0.03456511604
21,Processed,60,24,0.7233579538,0.9588746973,13,0.6689893838,0.9608767858,-0.05436857
22,Processed,60,29,0.750451755,0.9870790256,12,0.7213318357,0.9772190285,-0.02911991931
23,Processed,60,49,0.8562690574,0.9815097442,13,0.8148953361,0.9702613635,-0.04137372129
25,Processed,60,27,0.8753285532,0.9724916781,14,0.8104998272,0.9718017627,-0.06482872605
