tau_seconds_rounded,n_windows,percent_windows
0.12,387,42.95227524972253
0.16,229,25.41620421753607
0.32,97,10.76581576026637
0.2,86,9.544950055493896
0.36,41,4.550499445061043
0.28,29,3.218645948945616
0.14,6,0.6659267480577137
0.24,5,0.5549389567147613
0.3,5,0.5549389567147613
0.26,4,0.4439511653718091
0.4,2,0.22197558268590456
0.56,2,0.22197558268590456
0.68,2,0.22197558268590456
0.08,1,0.11098779134295228
0.18,1,0.11098779134295228
0.52,1,0.11098779134295228
0.6,1,0.11098779134295228
0.64,1,0.11098779134295228
0.72,1,0.11098779134295228
