candidate_tau_s,scope,n_windows,n_sessions,practical_tolerance_s,window_median_absolute_deviation_s,session_median_absolute_deviation_s,session_within_tolerance_fraction
0.08,Pooled,901,20,0.04,0.07999758000018,0.0800044357520431,0.05
0.08,Awake,596,20,0.04,0.08002420000040729,0.08003300000033955,0.05
0.08,Drowsy,305,20,0.04,0.0400510000001031,0.040045000000459297,0.1
0.12,Pooled,901,20,0.04,0.0399999999998544,0.0400044357520431,0.5
0.12,Awake,596,20,0.04,0.040024200000407295,0.04003300000033956,0.4
0.12,Drowsy,305,20,0.04,5.100000010310746e-05,4.5000000459302636e-05,0.65
0.16,Pooled,901,20,0.04,0.0399804999999879,0.039979750000245604,0.7
0.16,Awake,596,20,0.04,0.039981849999694605,0.039980425000098956,0.7
0.16,Drowsy,305,20,0.04,0.0399700000001849,0.03996999999984385,0.8
0.2,Pooled,901,20,0.04,0.07996939999996482,0.06997449999983019,0.35
0.2,Awake,596,20,0.04,0.07996999999950281,0.04500199999995404,0.45
0.2,Drowsy,305,20,0.04,0.07996939999996482,0.07996519999957466,0.25
0.24,Pooled,901,20,0.04,0.08009120000020631,0.0799955642479569,0.3
0.24,Awake,596,20,0.04,0.08003199999962812,0.07998135424803879,0.25
0.24,Drowsy,305,20,0.04,0.11994899999989689,0.11995499999954069,0.15
