Metric,Window (s),Full cohort Delta [95% CI],Exclude S09/S13 Delta [95% CI],Direction matches full,Magnitude ratio
Mean_CC,60,"-0.0339 [-0.0595, -0.0043]","-0.0381 [-0.0672, -0.0079]",Yes,1.1239354149389245
Mean_CC,120,"-0.0271 [-0.0490, -0.0156]","-0.0271 [-0.0574, -0.0156]",Yes,1.0
Mean_CC,180,"-0.0428 [-0.0516, -0.0133]","-0.0451 [-0.0575, -0.0176]",Yes,1.0542389448613871
Mean_NRMSE,60,"0.0294 [0.0047, 0.0530]","0.0334 [0.0121, 0.0572]",Yes,1.1348242718566222
Mean_NRMSE,120,"0.0321 [0.0196, 0.0495]","0.0331 [0.0196, 0.0528]",Yes,1.0310657374952765
Mean_NRMSE,180,"0.0321 [0.0186, 0.0465]","0.0350 [0.0186, 0.0540]",Yes,1.0907892966442694
DET,60,"-0.0186 [-0.0364, -0.0069]","-0.0263 [-0.0386, -0.0080]",Yes,1.409266409266407
DET,120,"-0.0201 [-0.0399, -0.0134]","-0.0223 [-0.0454, -0.0158]",Yes,1.11095802374381
DET,180,"-0.0248 [-0.0416, 0.0008]","-0.0308 [-0.0443, -0.0030]",Yes,1.2430190994418722
LLE,60,"-0.0376 [-0.0537, -0.0230]","-0.0410 [-0.0571, -0.0276]",Yes,1.0906113891325973
LLE,120,"-0.0442 [-0.0591, -0.0216]","-0.0497 [-0.0762, -0.0231]",Yes,1.1247815010992555
LLE,180,"-0.0498 [-0.0584, -0.0213]","-0.0498 [-0.0605, -0.0213]",Yes,1.0
