session,duration_s,metric,awake,drowsy,delta_drowsy_minus_awake,n_windows_awake,n_windows_drowsy,source_domain,expected_sign,in_expected_direction
1,60,Mean_CC,0.7162572792370095,0.7371784571491848,0.020921177912175293,24,7,Prediction,-1,False
4,60,Mean_CC,0.624877585725933,0.6617064624683453,0.03682887674241231,29,17,Prediction,-1,False
5,60,Mean_CC,0.6614714043014197,0.6256650285960395,-0.035806375705380256,33,16,Prediction,-1,True
6,60,Mean_CC,0.6907542112070781,0.673492348793435,-0.017261862413643136,31,17,Prediction,-1,True
7,60,Mean_CC,0.7097277092543911,0.6412090240001522,-0.06851868525423888,34,11,Prediction,-1,True
8,60,Mean_CC,0.7251074065978171,0.6733816672694368,-0.051725739328380316,36,10,Prediction,-1,True
10,60,Mean_CC,0.7489728173169774,0.6772056352606055,-0.07176718205637189,27,9,Prediction,-1,True
11,60,Mean_CC,0.6872602908430605,0.6553255230883006,-0.031934767754759896,20,18,Prediction,-1,True
12,60,Mean_CC,0.7288506474216,0.6885203529436704,-0.040330294477929574,20,35,Prediction,-1,True
14,60,Mean_CC,0.67273088774744,0.605526975701356,-0.067203912046084,31,17,Prediction,-1,True
15,60,Mean_CC,0.6838887782431654,0.674000131067526,-0.00988864717563942,28,6,Prediction,-1,True
17,60,Mean_CC,0.6670946034022217,0.7669144948087139,0.09981989140649217,28,14,Prediction,-1,False
18,60,Mean_CC,0.7282510079416141,0.656110216840678,-0.07214079110093607,19,21,Prediction,-1,True
19,60,Mean_CC,0.74088998806926,0.6979540882647801,-0.04293589980447987,34,10,Prediction,-1,True
21,60,Mean_CC,0.6222530782241327,0.6164385279868347,-0.005814550237297933,25,15,Prediction,-1,True
22,60,Mean_CC,0.7339079917855992,0.6256966490326951,-0.10821134275290412,29,13,Prediction,-1,True
23,60,Mean_CC,0.6415341453410874,0.6386521821538151,-0.002881963187272296,49,13,Prediction,-1,True
25,60,Mean_CC,0.7330552550742705,0.6640794981577091,-0.06897575691656144,27,15,Prediction,-1,True
1,120,Mean_CC,0.7154089693109362,0.7565828183399048,0.04117384902896859,11,1,Prediction,-1,False
4,120,Mean_CC,0.629429135809723,0.6589711756089522,0.029542039799229203,13,7,Prediction,-1,False
5,120,Mean_CC,0.6657312215862649,0.6381661376156461,-0.027565083970618742,14,8,Prediction,-1,True
6,120,Mean_CC,0.6964546620275125,0.6859222879320346,-0.010532374095477914,14,7,Prediction,-1,True
7,120,Mean_CC,0.7106037241263272,0.6502510333057159,-0.06035269082061134,17,5,Prediction,-1,True
8,120,Mean_CC,0.7250910221799042,0.6870175403484693,-0.038073481831434886,17,5,Prediction,-1,True
10,120,Mean_CC,0.7581054203838744,0.6851238099135921,-0.07298161047028229,12,4,Prediction,-1,True
11,120,Mean_CC,0.6926946836428631,0.6660112069324238,-0.026683476710439358,9,8,Prediction,-1,True
12,120,Mean_CC,0.7173056912978918,0.6914853556429468,-0.025820335654945015,8,16,Prediction,-1,True
14,120,Mean_CC,0.6754533063038286,0.586318722039853,-0.08913458426397558,16,7,Prediction,-1,True
15,120,Mean_CC,0.6869180342341475,0.6662803421155523,-0.02063769211859523,12,3,Prediction,-1,True
17,120,Mean_CC,0.6701673066380563,0.7357604926106451,0.06559318597258879,14,5,Prediction,-1,False
18,120,Mean_CC,0.7290715003711323,0.6746950905735599,-0.05437640979757241,8,10,Prediction,-1,True
19,120,Mean_CC,0.7439553811408532,0.7002480877719278,-0.043707293368925426,15,4,Prediction,-1,True
21,120,Mean_CC,0.6303045578004353,0.6292417545638613,-0.0010628032365739282,12,7,Prediction,-1,True
22,120,Mean_CC,0.7460625826874471,0.6602515109252801,-0.08581107176216696,13,6,Prediction,-1,True
23,120,Mean_CC,0.659214697757677,0.6348419720346413,-0.024372725723035726,22,4,Prediction,-1,True
25,120,Mean_CC,0.7430894254748006,0.6754201272038416,-0.06766929827095902,12,7,Prediction,-1,True
1,180,Mean_CC,0.7064346030897337,0.7450928007593913,0.03865819766965761,6,1,Prediction,-1,False
4,180,Mean_CC,0.6372297253925505,0.6843605567552415,0.04713083136269103,8,5,Prediction,-1,False
5,180,Mean_CC,0.6783284158823635,0.6183688478207006,-0.059959568061662916,9,3,Prediction,-1,True
6,180,Mean_CC,0.7101813822423437,0.6783740218845673,-0.031807360357776426,8,5,Prediction,-1,True
7,180,Mean_CC,0.7188109514971689,0.6385327346568899,-0.08027821684027903,11,1,Prediction,-1,True
