metric,duration_s,excluded_sessions,n_paired_sessions,awake_median,drowsy_median,median_delta,ci95_low,ci95_high,bootstrap_resamples,bootstrap_seed,wilcoxon_statistic,raw_p_value,rank_biserial_r_rb,n_positive,n_negative,n_zero,full_cohort_median_delta,full_cohort_ci95_low,full_cohort_ci95_high,expected_sign,median_in_expected_direction,direction_matches_full_cohort,ci_on_expected_side,magnitude_ratio_to_full_cohort,median_delta_change_from_full,Direction_preserved_after_exclusion,Sessions_same_sign_all_durations
Mean_CC,60,9;13,18,0.7002409602307347,0.6628929803130272,-0.038068335091654915,-0.067203912046084,-0.007851598706468677,20000,20260901,30.0,0.0138702392578125,-0.6491228070175439,3,15,0,-0.033870571730070076,-0.05946482568723216,-0.004348256712285115,-1,True,True,True,1.1239354149389245,-0.004197763361584839,True,14
Mean_CC,120,9;13,18,0.7035291930769199,0.6704877163445562,-0.02712428034052905,-0.05736455030909188,-0.015585033107036572,20000,20260902,32.0,0.0182342529296875,-0.6257309941520468,3,15,0,-0.02712428034052905,-0.04904185158324892,-0.015585033107036572,-1,True,True,True,1.0,0.0,True,14
Mean_CC,180,9;13,18,0.7083079926660387,0.6785684843779585,-0.04508704234139843,-0.05754042355342631,-0.017649124329916166,20000,20260903,28.0,0.010406494140625,-0.672514619883041,4,14,0,-0.0427673845300095,-0.051641154578286386,-0.013331158865044879,-1,True,True,True,1.0542389448613871,-0.002319657811388931,True,14
Mean_NRMSE,60,9;13,18,0.6344505823719736,0.6657324220902834,0.03339068685003427,0.012143983591906937,0.057222906711527965,20000,20260911,26.0,0.0076904296875,0.695906432748538,14,4,0,0.029423662921313487,0.004651150672353388,0.05302102988284507,1,True,True,True,1.1348242718566222,0.003967023928720781,True,14
Mean_NRMSE,120,9;13,18,0.6240750006388823,0.6507024530899487,0.03307181519977409,0.01961323242762597,0.05278831723837407,20000,20260912,30.0,0.0138702392578125,0.6491228070175439,14,4,0,0.03207537017000878,0.01961323242762597,0.04953059186032083,1,True,True,True,1.0310657374952765,0.0009964450297653138,True,14
Mean_NRMSE,180,9;13,18,0.6137169158673865,0.6399029536992358,0.03500872160331103,0.01864687227343831,0.053966956853560344,20000,20260913,27.0,0.00896453857421875,0.6842105263157895,14,4,0,0.032094852517358496,0.01864687227343831,0.046484101209590345,1,True,True,True,1.0907892966442694,0.0029138690859525362,True,14
DET,60,9;13,18,0.7126145798339493,0.6983490905600613,-0.026275375533906076,-0.03860920477995877,-0.008014589432259966,20000,20260921,23.0,0.0047454833984375,-0.7309941520467836,3,15,0,-0.018644718529538862,-0.036353601766089205,-0.006898785813696795,-1,True,True,True,1.409266409266407,-0.007630657004367214,True,14
DET,120,9;13,18,0.7090051279682158,0.6919406471077085,-0.02231817098656691,-0.045422168096529714,-0.01584032870736196,20000,20260922,20.0,0.0028076171875,-0.7660818713450293,3,15,0,-0.020089121739592875,-0.039936953073792525,-0.013408943915734994,-1,True,True,True,1.11095802374381,-0.0022290492469740353,True,14
DET,180,9;13,18,0.7050172528235348,0.688445928485653,-0.03084092676519179,-0.04431315745491193,-0.0030274778449425055,20000,20260923,28.0,0.010406494140625,-0.672514619883041,4,14,0,-0.02481130561794237,-0.04164535293015342,0.000801480903736218,-1,True,True,True,1.2430190994418722,-0.00602962114724942,True,14
LLE,60,9;13,18,0.8196542002684775,0.79540522268817,-0.04097466388592835,-0.057125898575379475,-0.027558251077173967,20000,20260931,11.0,0.00041961669921875,-0.8713450292397661,2,16,0,-0.037570361261784535,-0.05369761932841827,-0.022975543677125287,-1,True,True,True,1.0906113891325973,-0.003404302624143818,True,15
LLE,120,9;13,18,0.8494784841470715,0.8194009795813639,-0.04973098780689017,-0.07615850994695977,-0.023106616793812096,20000,20260932,23.0,0.0047454833984375,-0.7309941520467836,2,16,0,-0.04421390977562112,-0.0590983784594421,-0.021612105658393055,-1,True,True,True,1.1247815010992555,-0.0055170780312690515,True,15
LLE,180,9;13,18,0.8827061400669254,0.8259379356031985,-0.04984971010910705,-0.060530036361833295,-0.021317583182464295,20000,20260933,13.0,0.00067138671875,-0.847953216374269,3,15,0,-0.04984971010910705,-0.05839676098715768,-0.021317583182464295,-1,True,True,True,1.0,0.0,True,15
