session,state,duration_s,n_windows,metric,value
1,Awake,30,48,DET,0.9193849989611469
1,Drowsy,30,14,DET,0.9341626843964264
4,Awake,30,58,DET,0.6993137866500312
4,Drowsy,30,34,DET,0.7070076939072573
5,Awake,30,66,DET,0.7251263536532707
5,Drowsy,30,32,DET,0.7007020588896995
6,Awake,30,62,DET,0.7143896860054065
6,Drowsy,30,34,DET,0.6964025784986484
7,Awake,30,68,DET,0.7063838635891038
7,Drowsy,30,22,DET,0.6764400083177375
8,Awake,30,72,DET,0.7134539405281763
8,Drowsy,30,20,DET,0.7167810355583282
9,Awake,30,94,DET,0.6189823029662047
9,Drowsy,30,36,DET,0.6400751533389581
10,Awake,30,54,DET,0.7571220627989187
10,Drowsy,30,18,DET,0.7189644416718652
11,Awake,30,40,DET,0.7291536702017052
11,Drowsy,30,36,DET,0.6957787481804949
12,Awake,30,40,DET,0.6413318413088054
12,Drowsy,30,70,DET,0.6601334445371143
13,Awake,30,50,DET,0.7242952434444558
13,Drowsy,30,46,DET,0.7212315985900891
14,Awake,30,62,DET,0.7007693907257226
14,Drowsy,30,34,DET,0.6664587232272822
15,Awake,30,56,DET,0.715429403202329
15,Drowsy,30,12,DET,0.7267623206487835
17,Awake,30,56,DET,0.7168850072780204
17,Drowsy,30,28,DET,0.7139737991266375
18,Awake,30,38,DET,0.7009773341651071
18,Drowsy,30,42,DET,0.6592846745685174
19,Awake,30,68,DET,0.6934913703472656
19,Drowsy,30,20,DET,0.6776876689540445
21,Awake,30,50,DET,0.6474318985236016
21,Drowsy,30,30,DET,0.5961738407153254
22,Awake,30,58,DET,0.7364470391993327
22,Drowsy,30,26,DET,0.7062973161510464
23,Awake,30,98,DET,0.7156373466417134
23,Drowsy,30,26,DET,0.7061759201497193
25,Awake,30,54,DET,0.7446454564358493
25,Drowsy,30,30,DET,0.6738407153254315
1,Awake,60,24,DET,0.9191743526392172
1,Drowsy,60,7,DET,0.9390959137411996
4,Awake,60,29,DET,0.6958295340020156
4,Drowsy,60,17,DET,0.7143062820943514
5,Awake,60,33,DET,0.720497192494121
5,Drowsy,60,16,DET,0.6980371454623986
6,Awake,60,31,DET,0.7134904256850795
6,Drowsy,60,17,DET,0.6986610356577242
7,Awake,60,34,DET,0.7098910591735854
7,Drowsy,60,11,DET,0.6696261457983395
8,Awake,60,36,DET,0.720329222056918
8,Drowsy,60,10,DET,0.713538417238566
9,Awake,60,47,DET,0.5960550943034026
9,Drowsy,60,18,DET,0.6426788885156213
10,Awake,60,27,DET,0.7545711954695974
10,Drowsy,60,9,DET,0.7174257330709795
11,Awake,60,20,DET,0.7275519508566493
11,Drowsy,60,18,DET,0.6974612468205595
12,Awake,60,20,DET,0.6341727137296362
12,Drowsy,60,35,DET,0.6651929453601807
13,Awake,60,25,DET,0.7177616739453856
13,Drowsy,60,23,DET,0.7217449728847722
14,Awake,60,31,DET,0.7019244612948121
14,Drowsy,60,17,DET,0.6618515141335125
15,Awake,60,28,DET,0.7117387339828191
15,Drowsy,60,6,DET,0.7027163219273408
17,Awake,60,28,DET,0.7192254163267265
17,Drowsy,60,14,DET,0.7080193885876086
18,Awake,60,19,DET,0.6945817536113644
18,Drowsy,60,21,DET,0.6407352305994145
19,Awake,60,34,DET,0.6854153668954264
19,Drowsy,60,10,DET,0.6322407256322887
21,Awake,60,25,DET,0.6248500263953544
21,Drowsy,60,15,DET,0.5892882852617939
22,Awake,60,29,DET,0.7383500503911311
22,Drowsy,60,13,DET,0.703556174113356
23,Awake,60,49,DET,0.7085472956759611
23,Drowsy,60,13,DET,0.7015405288669194
25,Awake,60,27,DET,0.7424773239909775
25,Drowsy,60,15,DET,0.6899265729231655
1,Awake,120,11,DET,0.9198504444258526
1,Drowsy,120,1,DET,0.9350829566075348
4,Awake,120,13,DET,0.6865818165018941
4,Drowsy,120,7,DET,0.7017924789799501
5,Awake,120,14,DET,0.701189954063849
5,Drowsy,120,8,DET,0.6763001777428961
6,Awake,120,14,DET,0.708941605839416
6,Drowsy,120,7,DET,0.693846438140996
7,Awake,120,17,DET,0.7090686500970156
7,Drowsy,120,5,DET,0.667086297699344
8,Awake,120,17,DET,0.7190704980134898
8,Drowsy,120,5,DET,0.6997020234685393
9,Awake,120,19,DET,0.6024676254010757
9,Drowsy,120,10,DET,0.6225791186722375
10,Awake,120,12,DET,0.7559497703192447
10,Drowsy,120,4,DET,0.7180582165693312
11,Awake,120,9,DET,0.7195093781761065
11,Drowsy,120,8,DET,0.702167837013767
12,Awake,120,8,DET,0.6148422341310174
12,Drowsy,120,16,DET,0.6582047491453387
13,Awake,120,11,DET,0.7127028461946862
13,Drowsy,120,12,DET,0.7160153274393481
14,Awake,120,16,DET,0.6889725584403585
14,Drowsy,120,7,DET,0.6275177861960639
15,Awake,120,12,DET,0.7184814746373464
15,Drowsy,120,3,DET,0.6946549015984478
17,Awake,120,14,DET,0.7150397302041948
17,Drowsy,120,5,DET,0.7033170100711448
18,Awake,120,8,DET,0.6933819625585744
18,Drowsy,120,10,DET,0.6366773620184207
19,Awake,120,15,DET,0.6740957041619537
19,Drowsy,120,4,DET,0.6252337203665659
21,Awake,120,12,DET,0.6280383647653562
21,Drowsy,120,7,DET,0.562798642690612
22,Awake,120,13,DET,0.7374714341774198
22,Drowsy,120,6,DET,0.7166616652431845
23,Awake,120,22,DET,0.7066203457907251
23,Drowsy,120,4,DET,0.6900348560744212
25,Awake,120,12,DET,0.7417187968883452
25,Drowsy,120,7,DET,0.6416172295191709
1,Awake,180,6,DET,0.9149291598565346
1,Drowsy,180,1,DET,0.9367433157314368
4,Awake,180,8,DET,0.6828191265663082
4,Drowsy,180,5,DET,0.702324190941381
5,Awake,180,9,DET,0.6921806864626964
5,Drowsy,180,3,DET,0.6961564369172487
6,Awake,180,8,DET,0.7011942703398375
6,Drowsy,180,5,DET,0.6882837874127858
7,Awake,180,11,DET,0.708840235307232
7,Drowsy,180,1,DET,0.655779569211437
8,Awake,180,9,DET,0.7094685319645925
8,Drowsy,180,3,DET,0.6886080695585203
9,Awake,180,11,DET,0.5670129199228148
9,Drowsy,180,6,DET,0.6268416334510021
10,Awake,180,7,DET,0.7460331126834037
10,Drowsy,180,2,DET,0.7049638637203908
11,Awake,180,5,DET,0.7281046215272675
11,Drowsy,180,6,DET,0.6909287136639322
12,Awake,180,5,DET,0.6087849140771532
12,Drowsy,180,10,DET,0.6521518730673697
13,Awake,180,7,DET,0.7068934954696704
13,Drowsy,180,6,DET,0.7114542130293193
14,Awake,180,9,DET,0.7011081328948768
14,Drowsy,180,4,DET,0.6441839490471678
15,Awake,180,7,DET,0.7222067400017228
15,Drowsy,180,1,DET,0.6892870353011518
17,Awake,180,9,DET,0.7143124965165004
17,Drowsy,180,4,DET,0.7112850186715579
18,Awake,180,5,DET,0.6752394313410688
18,Drowsy,180,6,DET,0.6330179744437748
19,Awake,180,9,DET,0.6757533226252667
19,Drowsy,180,2,DET,0.5922329359188079
21,Awake,180,7,DET,0.6086443450647515
21,Drowsy,180,4,DET,0.5622394870522216
22,Awake,180,8,DET,0.7226065729031081
22,Drowsy,180,3,DET,0.7202337842560282
23,Awake,180,15,DET,0.7007551393538519
23,Drowsy,180,1,DET,0.6719929905240394
25,Awake,180,6,DET,0.7451040996356892
25,Drowsy,180,4,DET,0.6512497529882093
1,Awake,30,46,LLE,0.9217523173672392
1,Drowsy,30,14,LLE,0.7886182468929955
4,Awake,30,54,LLE,0.77534357073012
4,Drowsy,30,33,LLE,0.7246438384412777
5,Awake,30,61,LLE,0.7497816580718999
5,Drowsy,30,27,LLE,0.6695915861573749
6,Awake,30,59,LLE,0.8031761722936993
6,Drowsy,30,33,LLE,0.7679226939470937
7,Awake,30,64,LLE,0.821678892322216
7,Drowsy,30,18,LLE,0.8198375744975208
8,Awake,30,69,LLE,0.8125690723460667
8,Drowsy,30,19,LLE,0.8018485320275643
9,Awake,30,67,LLE,0.7321351396144142
9,Drowsy,30,32,LLE,0.7576218393472056
10,Awake,30,52,LLE,0.8488220686554724
10,Drowsy,30,17,LLE,0.8067605922068306
11,Awake,30,37,LLE,0.83663420842998
11,Drowsy,30,34,LLE,0.7775763896891309
12,Awake,30,36,LLE,0.7115182753997868
12,Drowsy,30,63,LLE,0.7425025530230169
13,Awake,30,49,LLE,0.7532939495350821
13,Drowsy,30,44,LLE,0.7529784311142607
14,Awake,30,49,LLE,0.754957621063566
14,Drowsy,30,26,LLE,0.6780676364091117
15,Awake,30,52,LLE,0.7658823793765789
15,Drowsy,30,9,LLE,0.7398004183162254
17,Awake,30,55,LLE,0.822125082147458
17,Drowsy,30,26,LLE,0.8046166693058223
18,Awake,30,34,LLE,0.6711912392903558
18,Drowsy,30,34,LLE,0.7456400188323207
19,Awake,30,64,LLE,0.7800951753416658
19,Drowsy,30,19,LLE,0.7471124707080972
21,Awake,30,41,LLE,0.7354556557487071
21,Drowsy,30,23,LLE,0.6585609955088374
22,Awake,30,57,LLE,0.7362197312357631
22,Drowsy,30,25,LLE,0.704240823722131
23,Awake,30,96,LLE,0.7964658687206745
23,Drowsy,30,26,LLE,0.7940669558707072
25,Awake,30,47,LLE,0.8717748215429214
25,Drowsy,30,27,LLE,0.7874397636462798
1,Awake,60,24,LLE,0.9363806938428474
1,Drowsy,60,7,LLE,0.8508454421393316
4,Awake,60,29,LLE,0.8082048466294136
4,Drowsy,60,17,LLE,0.7588513260015309
5,Awake,60,33,LLE,0.7628833744483251
5,Drowsy,60,16,LLE,0.6941292190349919
6,Awake,60,30,LLE,0.8256898204542096
6,Drowsy,60,17,LLE,0.8046403291096984
7,Awake,60,34,LLE,0.8573768180858816
7,Drowsy,60,10,LLE,0.8043501494244537
8,Awake,60,36,LLE,0.8532027863391012
8,Drowsy,60,10,LLE,0.8126271798539587
9,Awake,60,40,LLE,0.7538726860565607
9,Drowsy,60,17,LLE,0.7618431815094404
10,Awake,60,27,LLE,0.890667318503439
10,Drowsy,60,9,LLE,0.829442190014108
11,Awake,60,19,LLE,0.8437742721121827
11,Drowsy,60,18,LLE,0.8188726761024433
12,Awake,60,20,LLE,0.769740121608089
12,Drowsy,60,33,LLE,0.7728564744125314
13,Awake,60,25,LLE,0.783438033774116
13,Drowsy,60,23,LLE,0.8029733650544364
14,Awake,60,26,LLE,0.8018279192614624
14,Drowsy,60,14,LLE,0.7100971948676058
