metric,duration_s,n_paired_sessions,awake_median,drowsy_median,median_delta,ci95_low,ci95_high,bootstrap_resamples,bootstrap_seed,wilcoxon_statistic,raw_p_value,rank_biserial_r_rb,n_positive,n_negative,n_zero,expected_sign,median_in_expected_direction,ci_on_expected_side,Direction_preserved,Expected_direction_preserved,Sessions_same_sign_all_durations,CI_direction_consistency,magnitude_ratio_vs_60
Mean_CC,60,20,0.6890072510250693,0.6634718153687817,-0.033870571730070076,-0.05946482568723216,-0.004348256712285115,20000,20260831,44.0,0.021484375,-0.580952380952381,5,15,0,-1,True,True,True,True,14,True,1.0
Mean_CC,120,20,0.6951472383158723,0.6704877163445562,-0.02712428034052905,-0.04904185158324892,-0.015585033107036572,20000,20260832,40.0,0.013616561889648438,-0.6190476190476191,4,16,0,-1,True,True,True,True,14,True,0.800821449271501
Mean_CC,180,20,0.7047900229997897,0.6785684843779585,-0.0427673845300095,-0.051641154578286386,-0.013331158865044879,20000,20260833,37.0,0.009435653686523438,-0.6476190476190476,5,15,0,-1,True,True,True,True,14,True,1.2626708775642217
Mean_NRMSE,60,20,0.6391542619343502,0.6657324220902834,0.029423662921313487,0.004651150672353388,0.05302102988284507,20000,20260841,35.0,0.0072956085205078125,0.6666666666666666,15,5,0,1,True,True,True,True,15,True,1.0
Mean_NRMSE,120,20,0.6246835035099243,0.6525122488807276,0.03207537017000878,0.01961323242762597,0.04953059186032083,20000,20260842,36.0,0.00830841064453125,0.6571428571428571,15,5,0,1,True,True,True,True,15,True,1.0901215887289983
Mean_NRMSE,180,20,0.6176319583268195,0.6445881826226693,0.032094852517358496,0.01864687227343831,0.046484101209590345,20000,20260843,35.0,0.0072956085205078125,0.6666666666666666,15,5,0,1,True,True,True,True,15,True,1.0907837206804762
DET,60,20,0.7126145798339493,0.6983490905600613,-0.018644718529538862,-0.036353601766089205,-0.006898785813696795,20000,20260851,44.0,0.021484375,-0.580952380952381,5,15,0,-1,True,True,True,True,14,False,1.0
DET,120,20,0.7090051279682158,0.6919406471077085,-0.020089121739592875,-0.039936953073792525,-0.013408943915734994,20000,20260852,34.0,0.006389617919921875,-0.6761904761904762,5,15,0,-1,True,True,True,True,14,False,1.0774698318864746
DET,180,20,0.704043882904754,0.688445928485653,-0.02481130561794237,-0.04164535293015342,0.000801480903736218,20000,20260853,53.0,0.05316925048828125,-0.49523809523809526,6,14,0,-1,True,False,True,True,14,False,1.330741763606341
LLE,60,20,0.8109117133560795,0.7947168305031613,-0.037570361261784535,-0.05369761932841827,-0.022975543677125287,20000,20260861,20.0,0.0007076263427734375,-0.8095238095238095,4,16,0,-1,True,True,True,True,15,True,1.0
LLE,120,20,0.8439703073794167,0.8194009795813639,-0.04421390977562112,-0.0590983784594421,-0.021612105658393055,20000,20260862,27.0,0.0023250579833984375,-0.7428571428571429,2,18,0,-1,True,True,True,True,15,True,1.1768295084400533
LLE,180,20,0.8702907233640876,0.8259379356031985,-0.04984971010910705,-0.05839676098715768,-0.021317583182464295,20000,20260863,19.0,0.0005855560302734375,-0.819047619047619,4,16,0,-1,True,True,True,True,15,True,1.326836059993192
