session,representation,window_size,n_windows_awake,n_windows_drowsy,DET_awake,DET_drowsy,Lmean_awake,Lmean_drowsy,LAM_awake,LAM_drowsy,TT_awake,TT_drowsy
sample_1,Processed,60,24,7,0.9191743526,0.9390959137,4.972188214,5.256884422,0.7257277187,0.7914352879,2.459657902,2.44831075
sample_4,Processed,60,29,17,0.695829534,0.7143062821,3.915803453,3.902552841,0.3216633872,0.2804866344,2.036613272,2.027823241
sample_5,Processed,60,33,16,0.7204971925,0.6980371455,4.07992414,3.800063692,0.3186639152,0.3851202188,2.044821826,2.089480486
sample_6,Processed,60,31,17,0.7134904257,0.6986610357,4.070958904,3.975423266,0.3594327398,0.366295532,2.032705249,2.056423409
sample_7,Processed,60,34,11,0.7098910592,0.6696261458,3.998715912,3.812727782,0.2479963526,0.3092575707,2.028243811,2.081731546
sample_8,Processed,60,36,10,0.7203292221,0.7135384172,4.213225428,4.09125292,0.3374766041,0.3633320536,2.021235529,2.030826033
sample_9,Processed,60,47,18,0.5960550943,0.6426788885,3.533367037,3.722410187,0.3105533426,0.2719801315,2.05341074,2.013289909
sample_10,Processed,60,27,9,0.7545711955,0.7174257331,4.28378005,4.105045492,0.3303018669,0.358448913,2.007145029,2.010269177
sample_11,Processed,60,20,18,0.7275519509,0.6974612468,4.217204771,4.089707998,0.3559893459,0.3485146614,2.024405045,2.03540879
sample_12,Processed,60,20,35,0.6341727137,0.6651929454,3.614850395,3.774434088,0.2356672594,0.2393675813,2.006453715,2.008355668
sample_13,Processed,60,25,23,0.7177616739,0.7217449729,4.181157394,4.152209493,0.458727264,0.3674953208,2.110099241,2.051845494
sample_14,Processed,60,31,17,0.7019244613,0.6618515141,3.965945946,3.860557769,0.2169218218,0.3544896098,2.019209292,2.054890922
sample_15,Processed,60,28,6,0.711738734,0.7027163219,4.010401374,4.000260503,0.2546671786,0.2534193982,2.025110707,2.067370188
sample_17,Processed,60,28,14,0.7192254163,0.7080193886,4.070218721,4.055593081,0.4232255123,0.3490665643,2.05690725,2.028526302
sample_18,Processed,60,19,21,0.6945817536,0.6407352306,3.731354452,3.708333333,0.218289581,0.2289197101,2.001812579,2.011253041
sample_19,Processed,60,34,10,0.6854153669,0.6322407256,3.646269336,3.674563748,0.1581681624,0.2482483083,2,2.017920436
sample_21,Processed,60,25,15,0.6248500264,0.5892882853,3.654894833,3.471286493,0.267408936,0.2897969957,2.030512515,2.042103483
sample_22,Processed,60,29,13,0.7383500504,0.7035561741,4.014788373,3.972899729,0.1547007727,0.2652253203,2.005058489,2.019061349
sample_23,Processed,60,49,13,0.7085472957,0.7015405289,4.011679644,3.927586207,0.4399865624,0.4146470221,2.088029051,2.077984637
sample_25,Processed,60,27,15,0.742477324,0.6899265729,4.024897331,3.710796915,0.136176033,0.2616979412,2.000894855,2.008527132
