session,representation,window_size,n_windows_awake,n_windows_drowsy,DET_awake,DET_drowsy,DET_delta,Lmean_awake,Lmean_drowsy,Lmean_delta,LAM_awake,LAM_drowsy,LAM_delta,TT_awake,TT_drowsy,TT_delta
sample_1,Processed,60,24,7,0.9191743526,0.9390959137,0.0199215611,4.972188214,5.256884422,0.2846962081,0.7257277187,0.7914352879,0.06570756923,2.459657902,2.44831075,-0.01134715136
sample_4,Processed,60,29,17,0.695829534,0.7143062821,0.01847674809,3.915803453,3.902552841,-0.01325061179,0.3216633872,0.2804866344,-0.04117675289,2.036613272,2.027823241,-0.008790031722
sample_5,Processed,60,33,16,0.7204971925,0.6980371455,-0.02246004703,4.07992414,3.800063692,-0.2798604473,0.3186639152,0.3851202188,0.06645630369,2.044821826,2.089480486,0.04465865958
sample_6,Processed,60,31,17,0.7134904257,0.6986610357,-0.01482939003,4.070958904,3.975423266,-0.09553563813,0.3594327398,0.366295532,0.006862792149,2.032705249,2.056423409,0.02371815973
sample_7,Processed,60,34,11,0.7098910592,0.6696261458,-0.04026491338,3.998715912,3.812727782,-0.1859881294,0.2479963526,0.3092575707,0.06126121803,2.028243811,2.081731546,0.05348773528
sample_8,Processed,60,36,10,0.7203292221,0.7135384172,-0.006790804818,4.213225428,4.09125292,-0.1219725084,0.3374766041,0.3633320536,0.02585544944,2.021235529,2.030826033,0.009590504067
sample_9,Processed,60,47,18,0.5960550943,0.6426788885,0.04662379421,3.533367037,3.722410187,0.1890431492,0.3105533426,0.2719801315,-0.03857321111,2.05341074,2.013289909,-0.0401208314
sample_10,Processed,60,27,9,0.7545711955,0.7174257331,-0.0371454624,4.28378005,4.105045492,-0.1787345576,0.3303018669,0.358448913,0.02814704612,2.007145029,2.010269177,0.003124148026
sample_11,Processed,60,20,18,0.7275519509,0.6974612468,-0.03009070404,4.217204771,4.089707998,-0.1274967727,0.3559893459,0.3485146614,-0.007474684456,2.024405045,2.03540879,0.01100374517
sample_12,Processed,60,20,35,0.6341727137,0.6651929454,0.03102023163,3.614850395,3.774434088,0.159583693,0.2356672594,0.2393675813,0.003700321976,2.006453715,2.008355668,0.001901952486
sample_13,Processed,60,25,23,0.7177616739,0.7217449729,0.003983298939,4.181157394,4.152209493,-0.02894790183,0.458727264,0.3674953208,-0.09123194318,2.110099241,2.051845494,-0.05825374754
sample_14,Processed,60,31,17,0.7019244613,0.6618515141,-0.04007294716,3.965945946,3.860557769,-0.105388177,0.2169218218,0.3544896098,0.1375677881,2.019209292,2.054890922,0.03568162995
sample_15,Processed,60,28,6,0.711738734,0.7027163219,-0.009022412055,4.010401374,4.000260503,-0.01014087074,0.2546671786,0.2534193982,-0.001247780391,2.025110707,2.067370188,0.04225948081
sample_17,Processed,60,28,14,0.7192254163,0.7080193886,-0.01120602774,4.070218721,4.055593081,-0.01462563974,0.4232255123,0.3490665643,-0.07415894803,2.05690725,2.028526302,-0.02838094837
sample_18,Processed,60,19,21,0.6945817536,0.6407352306,-0.05384652301,3.731354452,3.708333333,-0.02302111915,0.218289581,0.2289197101,0.0106301291,2.001812579,2.011253041,0.009440462062
sample_19,Processed,60,34,10,0.6854153669,0.6322407256,-0.05317464126,3.646269336,3.674563748,0.0282944117,0.1581681624,0.2482483083,0.09008014589,2,2.017920436,0.01792043581
sample_21,Processed,60,25,15,0.6248500264,0.5892882853,-0.03556174113,3.654894833,3.471286493,-0.1836083391,0.267408936,0.2897969957,0.0223880597,2.030512515,2.042103483,0.01159096836
sample_22,Processed,60,29,13,0.7383500504,0.7035561741,-0.03479387628,4.014788373,3.972899729,-0.04188864428,0.1547007727,0.2652253203,0.1105245477,2.005058489,2.019061349,0.01400285993
sample_23,Processed,60,49,13,0.7085472957,0.7015405289,-0.007006766809,4.011679644,3.927586207,-0.08409343715,0.4399865624,0.4146470221,-0.02533954024,2.088029051,2.077984637,-0.01004441342
sample_25,Processed,60,27,15,0.742477324,0.6899265729,-0.05255075107,4.024897331,3.710796915,-0.3141004154,0.136176033,0.2616979412,0.1255219081,2.000894855,2.008527132,0.007632277197
