check,passed,details
unique_surrogate_file_session_10,True,session_10_processed_pps_surrogate_results.csv
unique_window_file_session_10,True,session_10_processed_pps_window_results.csv
unique_surrogate_file_session_11,True,session_11_processed_pps_surrogate_results.csv
unique_window_file_session_11,True,session_11_processed_pps_window_results.csv
unique_surrogate_file_session_12,True,session_12_processed_pps_surrogate_results.csv
unique_window_file_session_12,True,session_12_processed_pps_window_results.csv
unique_surrogate_file_session_13,True,session_13_processed_pps_surrogate_results.csv
unique_window_file_session_13,True,session_13_processed_pps_window_results.csv
unique_surrogate_file_session_14,True,session_14_processed_pps_surrogate_results.csv
unique_window_file_session_14,True,session_14_processed_pps_window_results.csv
unique_surrogate_file_session_15,True,session_15_processed_pps_surrogate_results.csv
unique_window_file_session_15,True,session_15_processed_pps_window_results.csv
unique_surrogate_file_session_17,True,session_17_processed_pps_surrogate_results.csv
unique_window_file_session_17,True,session_17_processed_pps_window_results.csv
unique_surrogate_file_session_18,True,session_18_processed_pps_surrogate_results.csv
unique_window_file_session_18,True,session_18_processed_pps_window_results.csv
unique_surrogate_file_session_19,True,session_19_processed_pps_surrogate_results.csv
unique_window_file_session_19,True,session_19_processed_pps_window_results.csv
unique_surrogate_file_session_01,True,session_1_processed_pps_surrogate_results.csv
unique_window_file_session_01,True,session_1_processed_pps_window_results.csv
unique_surrogate_file_session_21,True,session_21_processed_pps_surrogate_results.csv
unique_window_file_session_21,True,session_21_processed_pps_window_results.csv
unique_surrogate_file_session_22,True,session_22_processed_pps_surrogate_results.csv
unique_window_file_session_22,True,session_22_processed_pps_window_results.csv
unique_surrogate_file_session_23,True,session_23_processed_pps_surrogate_results.csv
unique_window_file_session_23,True,session_23_processed_pps_window_results.csv
unique_surrogate_file_session_25,True,session_25_processed_pps_surrogate_results.csv
unique_window_file_session_25,True,session_25_processed_pps_window_results.csv
unique_surrogate_file_session_04,True,session_4_processed_pps_surrogate_results.csv
unique_window_file_session_04,True,session_4_processed_pps_window_results.csv
unique_surrogate_file_session_05,True,session_5_processed_pps_surrogate_results.csv
unique_window_file_session_05,True,session_5_processed_pps_window_results.csv
unique_surrogate_file_session_06,True,session_6_processed_pps_surrogate_results.csv
unique_window_file_session_06,True,session_6_processed_pps_window_results.csv
unique_surrogate_file_session_07,True,session_7_processed_pps_surrogate_results.csv
unique_window_file_session_07,True,session_7_processed_pps_window_results.csv
unique_surrogate_file_session_08,True,session_8_processed_pps_surrogate_results.csv
unique_window_file_session_08,True,session_8_processed_pps_window_results.csv
unique_surrogate_file_session_09,True,session_9_processed_pps_surrogate_results.csv
unique_window_file_session_09,True,session_9_processed_pps_window_results.csv
exactly_20_sessions,True,found=20
one_file_pair_per_session,True,window_only=[]; surrogate_only=[]
exactly_40_files,True,expected=40
filename_session_matches_window_01,True,session_1_processed_pps_window_results.csv
filename_session_matches_window_04,True,session_4_processed_pps_window_results.csv
filename_session_matches_window_05,True,session_5_processed_pps_window_results.csv
filename_session_matches_window_06,True,session_6_processed_pps_window_results.csv
filename_session_matches_window_07,True,session_7_processed_pps_window_results.csv
filename_session_matches_window_08,True,session_8_processed_pps_window_results.csv
filename_session_matches_window_09,True,session_9_processed_pps_window_results.csv
filename_session_matches_window_10,True,session_10_processed_pps_window_results.csv
filename_session_matches_window_11,True,session_11_processed_pps_window_results.csv
filename_session_matches_window_12,True,session_12_processed_pps_window_results.csv
filename_session_matches_window_13,True,session_13_processed_pps_window_results.csv
filename_session_matches_window_14,True,session_14_processed_pps_window_results.csv
