domain,metric,state,n_sessions,median_delta_pps,ci95_low,ci95_high,bootstrap_resamples,bootstrap_seed,wilcoxon_statistic,raw_p_value,rank_biserial_r_rb,n_positive,n_negative,n_zero,median_window_rejection_fraction,q_BH,BH_supported,CI_excludes_zero
Prediction,CC,Awake,20,0.11921835932199776,0.10344408447948261,0.12778612756572452,20000,20260831,0.0,1.9073486328125e-06,1.0,20,0,0,0.6066017316017316,1.9073486328125e-06,True,True
Prediction,CC,Drowsy,20,0.14409169134925914,0.1244921847124193,0.19064283576922533,20000,20260832,0.0,1.9073486328125e-06,1.0,20,0,0,0.7100840336134454,1.9073486328125e-06,True,True
Prediction,NRMSE,Awake,20,-0.13214477645057165,-0.16584118413164248,-0.12725723489904536,20000,20260833,0.0,1.9073486328125e-06,-1.0,0,20,0,0.9158986175115207,1.9073486328125e-06,True,True
Prediction,NRMSE,Drowsy,20,-0.1556819092745883,-0.19012873484191112,-0.1370175174659844,20000,20260834,0.0,1.9073486328125e-06,-1.0,0,20,0,1.0,1.9073486328125e-06,True,True
Diagonal recurrence,DET,Awake,20,0.1832557469885301,0.172697605221481,0.19386188030906557,20000,20260835,0.0,1.9073486328125e-06,1.0,20,0,0,1.0,1.9073486328125e-06,True,True
Diagonal recurrence,DET,Drowsy,20,0.1884628305418247,0.17131784805874173,0.1970893122810386,20000,20260836,0.0,1.9073486328125e-06,1.0,20,0,0,1.0,1.9073486328125e-06,True,True
Diagonal recurrence,Lmean,Awake,20,1.1527782465024026,1.0947417548930738,1.1891115448378613,20000,20260837,0.0,1.9073486328125e-06,1.0,20,0,0,1.0,1.9073486328125e-06,True,True
Diagonal recurrence,Lmean,Drowsy,20,1.1507903743302215,1.1023336429410682,1.1814519876057512,20000,20260838,0.0,1.9073486328125e-06,1.0,20,0,0,1.0,1.9073486328125e-06,True,True
Laminar recurrence,LAM,Awake,20,-0.12439410663723183,-0.14109516725056392,-0.11298693465705517,20000,20260839,0.0,1.9073486328125e-06,-1.0,0,20,0,0.955,1.9073486328125e-06,True,True
Laminar recurrence,LAM,Drowsy,20,-0.12661971493017227,-0.12817944041848636,-0.10907880213082498,20000,20260840,0.0,1.9073486328125e-06,-1.0,0,20,0,0.9238095238095239,1.9073486328125e-06,True,True
Laminar recurrence,TT,Awake,20,-0.11387461150383094,-0.1367357667253588,-0.08552017704785764,20000,20260841,0.0,1.9073486328125e-06,-1.0,0,20,0,1.0,1.9073486328125e-06,True,True
Laminar recurrence,TT,Drowsy,20,-0.11884759430263236,-0.12833900960124622,-0.10774948030250853,20000,20260842,0.0,1.9073486328125e-06,-1.0,0,20,0,1.0,1.9073486328125e-06,True,True
