Metric,State,Valid_windows,p_0_05_windows,p_0_05_percentage,Expected_direction_rejections,Opposite_direction_rejections,Non_rejected_windows,Sessions_with_any_rejection,Sessions_gt50_expected_direction,Sessions_gt50_expected_direction_display,Median_session_rejection_fraction,Q25_session_rejection_fraction,Q75_session_rejection_fraction,IQR_session_rejection_fraction
CC,Awake,596,374,62.75167785234899,374,0,222,20,16,16/20,0.6066017316017316,0.5310960591133005,0.7009013282732448,0.16980526915994432
CC,Drowsy,305,229,75.08196721311475,229,0,76,20,19,19/20,0.7100840336134454,0.6391304347826087,0.8722222222222222,0.23309178743961356
NRMSE,Awake,596,542,90.93959731543625,542,0,54,20,20,20/20,0.9158986175115207,0.8742647058823529,1.0,0.12573529411764706
NRMSE,Drowsy,305,291,95.40983606557377,291,0,14,20,20,20/20,1.0,0.9272727272727272,1.0,0.07272727272727275
DET,Awake,596,595,99.83221476510067,595,0,1,20,20,20/20,1.0,1.0,1.0,0.0
DET,Drowsy,305,305,100.0,305,0,0,20,20,20/20,1.0,1.0,1.0,0.0
Lmean,Awake,596,594,99.66442953020135,594,0,2,20,20,20/20,1.0,1.0,1.0,0.0
Lmean,Drowsy,305,305,100.0,305,0,0,20,20,20/20,1.0,1.0,1.0,0.0
LAM,Awake,596,537,90.1006711409396,537,0,59,20,20,20/20,0.955,0.8363636363636364,1.0,0.16363636363636358
LAM,Drowsy,305,273,89.50819672131148,272,1,32,20,20,20/20,0.9238095238095239,0.8140756302521008,1.0,0.18592436974789917
TT,Awake,596,580,97.31543624161074,580,0,16,20,20,20/20,1.0,0.9568877551020407,1.0,0.043112244897959284
TT,Drowsy,305,295,96.72131147540983,295,0,10,20,20,20/20,1.0,0.9271978021978022,1.0,0.07280219780219777
LLE,Awake,579,545,94.12780656303973,545,0,34,20,20,20/20,0.9629629629629629,0.9271978021978022,1.0,0.07280219780219777
LLE,Drowsy,293,287,97.95221843003414,287,0,6,20,20,20/20,1.0,0.9924242424242424,1.0,0.007575757575757569
