Session,State,Metric,Valid_windows,p_0_05_windows,Expected_direction_rejections,Opposite_direction_rejections,Non_rejected_windows,Rejection_fraction,Expected_direction_rejection_fraction
1,Awake,CC,24,13,13,0,11,0.5416666666666666,0.5416666666666666
4,Awake,CC,29,18,18,0,11,0.6206896551724138,0.6206896551724138
5,Awake,CC,33,20,20,0,13,0.6060606060606061,0.6060606060606061
6,Awake,CC,31,17,17,0,14,0.5483870967741935,0.5483870967741935
7,Awake,CC,34,17,17,0,17,0.5,0.5
8,Awake,CC,36,23,23,0,13,0.6388888888888888,0.6388888888888888
9,Awake,CC,47,45,45,0,2,0.9574468085106383,0.9574468085106383
10,Awake,CC,27,9,9,0,18,0.3333333333333333,0.3333333333333333
11,Awake,CC,20,6,6,0,14,0.3,0.3
12,Awake,CC,20,20,20,0,0,1.0,1.0
13,Awake,CC,25,14,14,0,11,0.56,0.56
14,Awake,CC,31,24,24,0,7,0.7741935483870968,0.7741935483870968
15,Awake,CC,28,15,15,0,13,0.5357142857142857,0.5357142857142857
17,Awake,CC,28,17,17,0,11,0.6071428571428571,0.6071428571428571
18,Awake,CC,19,15,15,0,4,0.7894736842105263,0.7894736842105263
19,Awake,CC,34,23,23,0,11,0.6764705882352942,0.6764705882352942
21,Awake,CC,25,23,23,0,2,0.92,0.92
22,Awake,CC,29,15,15,0,14,0.5172413793103449,0.5172413793103449
23,Awake,CC,49,30,30,0,19,0.6122448979591837,0.6122448979591837
25,Awake,CC,27,10,10,0,17,0.37037037037037035,0.37037037037037035
1,Drowsy,CC,7,5,5,0,2,0.7142857142857143,0.7142857142857143
4,Drowsy,CC,17,10,10,0,7,0.5882352941176471,0.5882352941176471
5,Drowsy,CC,16,12,12,0,4,0.75,0.75
6,Drowsy,CC,17,12,12,0,5,0.7058823529411765,0.7058823529411765
7,Drowsy,CC,11,10,10,0,1,0.9090909090909091,0.9090909090909091
8,Drowsy,CC,10,6,6,0,4,0.6,0.6
9,Drowsy,CC,18,16,16,0,2,0.8888888888888888,0.8888888888888888
10,Drowsy,CC,9,5,5,0,4,0.5555555555555556,0.5555555555555556
11,Drowsy,CC,18,6,6,0,12,0.3333333333333333,0.3333333333333333
12,Drowsy,CC,35,30,30,0,5,0.8571428571428571,0.8571428571428571
13,Drowsy,CC,23,15,15,0,8,0.6521739130434783,0.6521739130434783
14,Drowsy,CC,17,16,16,0,1,0.9411764705882353,0.9411764705882353
15,Drowsy,CC,6,4,4,0,2,0.6666666666666666,0.6666666666666666
17,Drowsy,CC,14,8,8,0,6,0.5714285714285714,0.5714285714285714
18,Drowsy,CC,21,20,20,0,1,0.9523809523809523,0.9523809523809523
19,Drowsy,CC,10,10,10,0,0,1.0,1.0
21,Drowsy,CC,15,13,13,0,2,0.8666666666666667,0.8666666666666667
22,Drowsy,CC,13,9,9,0,4,0.6923076923076923,0.6923076923076923
23,Drowsy,CC,13,9,9,0,4,0.6923076923076923,0.6923076923076923
25,Drowsy,CC,15,13,13,0,2,0.8666666666666667,0.8666666666666667
1,Awake,NRMSE,24,23,23,0,1,0.9583333333333334,0.9583333333333334
4,Awake,NRMSE,29,29,29,0,0,1.0,1.0
5,Awake,NRMSE,33,32,32,0,1,0.9696969696969697,0.9696969696969697
6,Awake,NRMSE,31,28,28,0,3,0.9032258064516129,0.9032258064516129
7,Awake,NRMSE,34,30,30,0,4,0.8823529411764706,0.8823529411764706
8,Awake,NRMSE,36,32,32,0,4,0.8888888888888888,0.8888888888888888
9,Awake,NRMSE,47,47,47,0,0,1.0,1.0
10,Awake,NRMSE,27,17,17,0,10,0.6296296296296297,0.6296296296296297
11,Awake,NRMSE,20,17,17,0,3,0.85,0.85
12,Awake,NRMSE,20,20,20,0,0,1.0,1.0
13,Awake,NRMSE,25,21,21,0,4,0.84,0.84
14,Awake,NRMSE,31,28,28,0,3,0.9032258064516129,0.9032258064516129
15,Awake,NRMSE,28,26,26,0,2,0.9285714285714286,0.9285714285714286
