metric,state,total_valid_windows,total_rejected_windows,overall_rejection_fraction,median_session_rejection_fraction,q25_session_rejection_fraction,q75_session_rejection_fraction,iqr_session_rejection_fraction,n_sessions_majority_directional,n_sessions_weak_mixed,n_sessions_zero_rejection,sessions_without_majority_directional,n_sessions_dominant_opposite,sessions_dominant_opposite
CC,Awake,596,374,0.62751677852349,0.6066017316017316,0.5310960591133005,0.7009013282732448,0.16980526915994432,16,4,0,07;10;11;25,0,
CC,Drowsy,305,229,0.7508196721311475,0.7100840336134454,0.6391304347826087,0.8722222222222222,0.23309178743961356,19,1,0,11,0,
NRMSE,Awake,596,542,0.9093959731543624,0.9158986175115207,0.8742647058823529,1.0,0.12573529411764706,20,0,0,,0,
NRMSE,Drowsy,305,291,0.9540983606557377,1.0,0.9272727272727272,1.0,0.07272727272727275,20,0,0,,0,
DET,Awake,596,595,0.9983221476510067,1.0,1.0,1.0,0.0,20,0,0,,0,
DET,Drowsy,305,305,1.0,1.0,1.0,1.0,0.0,20,0,0,,0,
Lmean,Awake,596,594,0.9966442953020134,1.0,1.0,1.0,0.0,20,0,0,,0,
Lmean,Drowsy,305,305,1.0,1.0,1.0,1.0,0.0,20,0,0,,0,
LAM,Awake,596,537,0.9010067114093959,0.955,0.8363636363636364,1.0,0.16363636363636358,20,0,0,,0,
LAM,Drowsy,305,273,0.8950819672131147,0.9238095238095239,0.8140756302521008,1.0,0.18592436974789917,20,0,0,,0,
TT,Awake,596,580,0.9731543624161074,1.0,0.9568877551020407,1.0,0.043112244897959284,20,0,0,,0,
TT,Drowsy,305,295,0.9672131147540983,1.0,0.9271978021978022,1.0,0.07280219780219777,20,0,0,,0,
LLE,Awake,579,545,0.9412780656303973,0.9629629629629629,0.9271978021978022,1.0,0.07280219780219777,20,0,0,,0,
LLE,Drowsy,293,287,0.9795221843003413,1.0,0.9924242424242424,1.0,0.007575757575757569,20,0,0,,0,
