session,state,metric,median_delta_pps,median_surrogate_iqr,median_surrogate_sd,rejection_fraction,fraction_delta_positive,fraction_delta_negative,fraction_delta_zero,n_valid_windows
1,Awake,CC,0.12794026453917362,0.06253022490626434,0.0443376372713936,0.5416666666666666,0.9583333333333334,0.041666666666666664,0.0,24
1,Awake,DET,0.09952384950286064,0.013103133957806157,0.0099217842154572,1.0,1.0,0.0,0.0,24
1,Awake,LAM,-0.0930922196768893,0.01863223670796499,0.015249513509739,0.75,0.041666666666666664,0.9583333333333334,0.0,24
1,Awake,Lmean,1.4076819495785426,0.09606832285925071,0.0752043124876039,1.0,1.0,0.0,0.0,24
1,Awake,NRMSE,-0.17791138479832608,0.039279538393482916,0.03094809182741955,0.9583333333333334,0.0,1.0,0.0,24
1,Awake,TT,-0.37478271995287415,0.09110165989734353,0.06395419337959621,1.0,0.0,1.0,0.0,24
1,Drowsy,CC,0.13368277193823885,0.06329623773355875,0.0457957643202441,0.7142857142857143,1.0,0.0,0.0,7
1,Drowsy,DET,0.10535279513534923,0.012983196804874253,0.0104565042452787,1.0,1.0,0.0,0.0,7
1,Drowsy,LAM,-0.046319728462285714,0.016332441800496533,0.0117637091525185,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.0,7
1,Drowsy,Lmean,1.7038826184517024,0.1184960959148178,0.0845454488339628,1.0,1.0,0.0,0.0,7
1,Drowsy,NRMSE,-0.18851434506026743,0.03819114366067855,0.0305052547687036,1.0,0.0,1.0,0.0,7
1,Drowsy,TT,-0.39290767100757584,0.11020227338546462,0.0779243486175635,1.0,0.0,1.0,0.0,7
4,Awake,CC,0.12753668309549998,0.055221366285054585,0.047291990545399,0.6206896551724138,1.0,0.0,0.0,29
4,Awake,DET,0.19921293852281996,0.02365983586888709,0.0184337183915303,1.0,1.0,0.0,0.0,29
4,Awake,LAM,-0.15582857417094592,0.0385732111148438,0.0272472311106221,1.0,0.0,1.0,0.0,29
4,Awake,Lmean,1.1209819028017614,0.09543345673866721,0.0733327822482684,1.0,1.0,0.0,0.0,29
4,Awake,NRMSE,-0.13695862838375983,0.03045196769886105,0.0256815312840158,1.0,0.0,1.0,0.0,29
4,Awake,TT,-0.16139790226191142,0.04155152849240862,0.0287329075000503,1.0,0.0,1.0,0.0,29
4,Drowsy,CC,0.12587787299669062,0.06514711118258354,0.0476696475883572,0.5882352941176471,1.0,0.0,0.0,17
4,Drowsy,DET,0.19801314968565537,0.024115755627009627,0.0182376723132677,1.0,1.0,0.0,0.0,17
4,Drowsy,LAM,-0.16657868215194133,0.03839324278926903,0.029789107581188,1.0,0.0,1.0,0.0,17
4,Drowsy,Lmean,1.151808592079941,0.08266487546660795,0.0675799107815156,1.0,1.0,0.0,0.0,17
4,Drowsy,NRMSE,-0.13720061307727272,0.031045553602278897,0.0306253415326117,1.0,0.0,1.0,0.0,17
4,Drowsy,TT,-0.1433109019376122,0.032656978903526035,0.0282218620460977,1.0,0.0,1.0,0.0,17
5,Awake,CC,0.1296165402892408,0.06427854765319152,0.046455947933458,0.6060606060606061,1.0,0.0,0.0,33
5,Awake,DET,0.1944137831741613,0.023347890771224344,0.018343815156002,1.0,1.0,0.0,0.0,33
5,Awake,LAM,-0.10985266593079623,0.032694245812737055,0.0267722524780995,0.8484848484848485,0.030303030303030304,0.9696969696969697,0.0,33
5,Awake,Lmean,1.2418705795614975,0.10769894724077833,0.0796446512035681,1.0,1.0,0.0,0.0,33
5,Awake,NRMSE,-0.12786756240106067,0.03729120083578552,0.0279622199891035,0.9696969696969697,0.0,1.0,0.0,33
5,Awake,TT,-0.13296482583365687,0.03683885461476599,0.0291230596558627,0.9696969696969697,0.0,1.0,0.0,33
5,Drowsy,CC,0.16404578806813214,0.05813361575722137,0.04343368997691015,0.75,1.0,0.0,0.0,16
5,Drowsy,DET,0.1984690694437779,0.029550799059365584,0.0220852585597808,1.0,1.0,0.0,0.0,16
5,Drowsy,LAM,-0.10585736910303792,0.035813696789365024,0.0263363593701015,0.875,0.0625,0.9375,0.0,16
5,Drowsy,Lmean,1.0849695985040373,0.10334175739782969,0.07659974014944135,1.0,1.0,0.0,0.0,16
