check,passed,details
recognized_filename,True,session_01_symbolic_analysis.csv
unique_file_session_01,True,session_01_symbolic_analysis.csv
recognized_filename,True,session_04_symbolic_analysis.csv
unique_file_session_04,True,session_04_symbolic_analysis.csv
recognized_filename,True,session_05_symbolic_analysis.csv
unique_file_session_05,True,session_05_symbolic_analysis.csv
recognized_filename,True,session_06_symbolic_analysis.csv
unique_file_session_06,True,session_06_symbolic_analysis.csv
recognized_filename,True,session_07_symbolic_analysis.csv
unique_file_session_07,True,session_07_symbolic_analysis.csv
recognized_filename,True,session_08_symbolic_analysis.csv
unique_file_session_08,True,session_08_symbolic_analysis.csv
recognized_filename,True,session_09_symbolic_analysis.csv
unique_file_session_09,True,session_09_symbolic_analysis.csv
recognized_filename,True,session_10_symbolic_analysis.csv
unique_file_session_10,True,session_10_symbolic_analysis.csv
recognized_filename,True,session_11_symbolic_analysis.csv
unique_file_session_11,True,session_11_symbolic_analysis.csv
recognized_filename,True,session_12_symbolic_analysis.csv
unique_file_session_12,True,session_12_symbolic_analysis.csv
recognized_filename,True,session_13_symbolic_analysis.csv
unique_file_session_13,True,session_13_symbolic_analysis.csv
recognized_filename,True,session_14_symbolic_analysis.csv
unique_file_session_14,True,session_14_symbolic_analysis.csv
recognized_filename,True,session_15_symbolic_analysis.csv
unique_file_session_15,True,session_15_symbolic_analysis.csv
recognized_filename,True,session_17_symbolic_analysis.csv
unique_file_session_17,True,session_17_symbolic_analysis.csv
recognized_filename,True,session_18_symbolic_analysis.csv
unique_file_session_18,True,session_18_symbolic_analysis.csv
recognized_filename,True,session_19_symbolic_analysis.csv
unique_file_session_19,True,session_19_symbolic_analysis.csv
recognized_filename,True,session_21_symbolic_analysis.csv
unique_file_session_21,True,session_21_symbolic_analysis.csv
recognized_filename,True,session_22_symbolic_analysis.csv
unique_file_session_22,True,session_22_symbolic_analysis.csv
recognized_filename,True,session_23_symbolic_analysis.csv
unique_file_session_23,True,session_23_symbolic_analysis.csv
recognized_filename,True,session_25_symbolic_analysis.csv
unique_file_session_25,True,session_25_symbolic_analysis.csv
exactly_20_symbolic_files,True,found=20
schema_session_01,True,missing=[]
filename_session_match_01,True,session_01_symbolic_analysis.csv
schema_session_04,True,missing=[]
filename_session_match_04,True,session_04_symbolic_analysis.csv
schema_session_05,True,missing=[]
filename_session_match_05,True,session_05_symbolic_analysis.csv
schema_session_06,True,missing=[]
filename_session_match_06,True,session_06_symbolic_analysis.csv
schema_session_07,True,missing=[]
filename_session_match_07,True,session_07_symbolic_analysis.csv
schema_session_08,True,missing=[]
filename_session_match_08,True,session_08_symbolic_analysis.csv
schema_session_09,True,missing=[]
filename_session_match_09,True,session_09_symbolic_analysis.csv
schema_session_10,True,missing=[]
filename_session_match_10,True,session_10_symbolic_analysis.csv
schema_session_11,True,missing=[]
filename_session_match_11,True,session_11_symbolic_analysis.csv
schema_session_12,True,missing=[]
filename_session_match_12,True,session_12_symbolic_analysis.csv
schema_session_13,True,missing=[]
filename_session_match_13,True,session_13_symbolic_analysis.csv
schema_session_14,True,missing=[]
filename_session_match_14,True,session_14_symbolic_analysis.csv
schema_session_15,True,missing=[]
filename_session_match_15,True,session_15_symbolic_analysis.csv
schema_session_17,True,missing=[]
filename_session_match_17,True,session_17_symbolic_analysis.csv
schema_session_18,True,missing=[]
filename_session_match_18,True,session_18_symbolic_analysis.csv
schema_session_19,True,missing=[]
filename_session_match_19,True,session_19_symbolic_analysis.csv
schema_session_21,True,missing=[]
filename_session_match_21,True,session_21_symbolic_analysis.csv
schema_session_22,True,missing=[]
filename_session_match_22,True,session_22_symbolic_analysis.csv
schema_session_23,True,missing=[]
filename_session_match_23,True,session_23_symbolic_analysis.csv
schema_session_25,True,missing=[]
filename_session_match_25,True,session_25_symbolic_analysis.csv
all_20_sessions_in_primary_cohort,True,found=20
both_states_awake,True,sessions=20
both_states_drowsy,True,sessions=20
unique_window_uid,True,duplicates=0
finite_primary_symbolic_metrics,True,nonfinite=0
included_rows_are_symbolic_valid,True,all included rows
included_rows_pass_invariants,True,all included rows
0V_1V_2V_sum_to_100_percent,True,max_abs_error=2.84e-14
2V_equals_2LV_plus_2UV,True,max_abs_error=1.42e-14
