session,session_id,window_id,window_30_id,parent_window_60_id,subwindow,state,duration_s,window_size_s,representation,sampling_rate_hz,n_samples,m,tau_s,tau_samples,theiler_s,theiler_samples,fit_start_s,fit_end_s,fit_duration_s,max_follow_s,lle_1_per_s,fit_r2,n_embedded,n_pairs_initial,n_pairs_fit_min,analysis_included,signal_finite,valid,qc_reason
1,1,1,sample_1_awake_w0001_60s_h1,sample_1_awake_w0001_60s,h1,Awake,30,30,processed,50.000000000045475,1500,8,0.16,8,0.5745741836353735,29,0.8,1.3,0.5,5.0,0.8809692459941997,0.98321441387773,1444,1444,1260,True,True,True,ok
1,1,2,sample_1_awake_w0001_60s_h2,sample_1_awake_w0001_60s,h2,Awake,30,30,processed,50.000000000045475,1500,8,0.16,8,0.5600848697792564,28,0.8,1.3,0.5,5.0,0.9913561903182537,0.975164607391998,1444,1444,1317,True,True,True,ok
1,1,3,sample_1_awake_w0002_60s_h1,sample_1_awake_w0002_60s,h1,Awake,30,30,processed,50.000000000045475,1500,8,0.16,8,0.5484141071283902,27,0.8,1.3,0.5,5.0,0.9266922533617121,0.96600056167708,1444,1444,1315,True,True,True,ok
1,1,4,sample_1_awake_w0002_60s_h2,sample_1_awake_w0002_60s,h2,Awake,30,30,processed,50.000000000045475,1500,8,0.16,8,0.5590504045916315,28,0.8,1.3,0.5,5.0,0.921544404475712,0.9778637480582066,1444,1444,1298,True,True,True,ok
1,1,5,sample_1_awake_w0003_60s_h1,sample_1_awake_w0003_60s,h1,Awake,30,30,processed,50.000000000045475,1500,8,0.16,8,0.5331796315152999,27,0.8,1.3,0.5,5.0,0.9955648468038598,0.9854662418771855,1444,1444,1365,True,True,True,ok
1,1,6,sample_1_awake_w0003_60s_h2,sample_1_awake_w0003_60s,h2,Awake,30,30,processed,50.000000000045475,1500,8,0.16,8,0.511561921048397,26,0.8,1.3,0.5,5.0,0.9554175449859583,0.9937165259162796,1444,1444,1341,True,True,True,ok
1,1,7,sample_1_awake_w0004_60s_h1,sample_1_awake_w0004_60s,h1,Awake,30,30,processed,50.000000000045475,1500,8,0.16,8,0.541018156927937,27,0.8,1.3,0.5,5.0,1.028445673271945,0.9668299453826968,1444,1444,1364,True,True,True,ok
1,1,8,sample_1_awake_w0004_60s_h2,sample_1_awake_w0004_60s,h2,Awake,30,30,processed,50.000000000045475,1500,8,0.16,8,0.5548519434911785,28,0.8,1.3,0.5,5.0,0.9551921716070665,0.9930777937598204,1444,1444,1257,True,True,True,ok
1,1,9,sample_1_awake_w0005_60s_h1,sample_1_awake_w0005_60s,h1,Awake,30,30,processed,50.000000000045475,1500,8,0.16,8,0.5248312409502842,26,0.8,1.3,0.5,5.0,0.9957935162669793,0.9937081644330762,1444,1444,1320,True,True,True,ok
1,1,10,sample_1_awake_w0005_60s_h2,sample_1_awake_w0005_60s,h2,Awake,30,30,processed,50.000000000045475,1500,8,0.16,8,0.5499636630820435,27,0.8,1.3,0.5,5.0,0.9768921303421727,0.9863038480816112,1444,1444,1338,True,True,True,ok
1,1,11,sample_1_awake_w0006_60s_h1,sample_1_awake_w0006_60s,h1,Awake,30,30,processed,50.000000000045475,1500,8,0.16,8,0.5933064071702993,30,0.8,1.3,0.5,5.0,1.091347452723978,0.9891850868291053,1444,1444,1313,True,True,True,ok
