session,session_id,representation,state,window_size,duration_s,window_id,window_30_id,parent_window_60_id,subwindow,fs,n_samples,m,tau_seconds,tau_samples,theiler_samples,distance_metric,l_min,v_min,epsilon,target_rr,achieved_rr,zero_distance_fraction,rr_exact,DET,Lmean,ENTR,Lmax,LAM,TT,Vmax,n_diagonal_lines,n_vertical_lines,valid,status,failure_reason
sample_1,1,Processed,Awake,30,30,1,sample_1_awake_w0001_60s_h1,sample_1_awake_w0001_60s,h1,50.000000000045475,1500,8,0.16,8,56,euclidean,2,2,114.88157312937439,0.02,0.020000457105813763,0.0,True,0.906399335134012,4.825774336283186,1.942317511713409,127,0.5889258258882194,2.3391788735300185,5,3616,9694,True,ok,
sample_1,1,Processed,Awake,30,30,2,sample_1_awake_w0001_60s_h2,sample_1_awake_w0001_60s,h2,50.000000000045475,1500,8,0.16,8,56,euclidean,2,2,113.4186643653631,0.02,0.020000457105813763,0.0,True,0.9067629337211718,4.723214285714286,1.9219968496804216,131,0.6825005194265531,2.4040801390540665,5,3696,10931,True,ok,
sample_1,1,Processed,Awake,30,30,3,sample_1_awake_w0002_60s_h1,sample_1_awake_w0002_60s,h1,50.000000000045475,1500,8,0.16,8,56,euclidean,2,2,114.68189566613243,0.02,0.020000457105813763,0.0,True,0.9151776438811552,4.932530795072788,1.9590662035018958,129,0.6573083316019115,2.369091079284845,5,3572,10683,True,ok,
sample_1,1,Processed,Awake,30,30,4,sample_1_awake_w0002_60s_h2,sample_1_awake_w0002_60s,h2,50.000000000045475,1500,8,0.16,8,56,euclidean,2,2,103.35456433736147,0.02,0.020000457105813763,0.0,True,0.9127882817369624,4.696151790486371,1.8927116918750808,97,0.7422605443590277,2.5041619206168404,5,3742,11413,True,ok,
sample_1,1,Processed,Awake,30,30,5,sample_1_awake_w0003_60s_h1,sample_1_awake_w0003_60s,h1,50.000000000045475,1500,8,0.16,8,56,euclidean,2,2,107.82619866813295,0.02,0.020000457105813763,0.0,True,0.9258778308747143,4.895633067838506,1.9919251085284377,141,0.6671774361105339,2.4221195549688854,5,3641,10606,True,ok,
sample_1,1,Processed,Awake,30,30,6,sample_1_awake_w0003_60s_h2,sample_1_awake_w0003_60s,h2,50.000000000045475,1500,8,0.16,8,56,euclidean,2,2,119.9222820474205,0.02,0.020000457105813763,0.0,True,0.8896218574693538,4.278541094179365,1.7946541708110169,112,0.7441564512777893,2.53588813169307,5,4003,11299,True,ok,
sample_1,1,Processed,Awake,30,30,7,sample_1_awake_w0004_60s_h1,sample_1_awake_w0004_60s,h1,50.000000000045475,1500,8,0.16,8,56,euclidean,2,2,98.16788119486999,0.02,0.020000457105813763,0.0,True,0.920839393309786,5.220259128386337,2.039281368007579,153,0.5226469977145232,2.2459821428571427,4,3396,8960,True,ok,
sample_1,1,Processed,Awake,30,30,8,sample_1_awake_w0004_60s_h2,sample_1_awake_w0004_60s,h2,50.000000000045475,1500,8,0.16,8,56,euclidean,2,2,104.41527917894994,0.02,0.020000457105813763,0.0,True,0.9338250571369209,5.479427003962207,2.0502812614589057,144,0.6129752752960731,2.291678803767356,4,3281,10299,True,ok,
sample_1,1,Processed,Awake,30,30,9,sample_1_awake_w0005_60s_h1,sample_1_awake_w0005_60s,h1,50.000000000045475,1500,8,0.16,8,56,euclidean,2,2,98.19796914639379,0.02,0.020000457105813763,0.0,True,0.931435694992728,4.795934741909601,1.917275392468101,161,0.532256388946603,2.262780170034228,4,3739,9057,True,ok,
sample_1,1,Processed,Awake,30,30,10,sample_1_awake_w0005_60s_h2,sample_1_awake_w0005_60s,h2,50.000000000045475,1500,8,0.16,8,56,euclidean,2,2,119.42236505215747,0.02,0.020000457105813763,0.0,True,0.8957510907957614,4.5357706470278805,1.8691572010093709,113,0.7350145439434864,2.491943294884212,6,3802,11357,True,ok,
sample_1,1,Processed,Awake,30,30,11,sample_1_awake_w0006_60s_h1,sample_1_awake_w0006_60s,h1,50.000000000045475,1500,8,0.16,8,56,euclidean,2,2,128.3698667328416,0.02,0.020000457105813763,0.0,True,0.9221899023478081,4.959217877094972,1.955466263562517,105,0.8117598171618533,2.699369548320235,6,3580,11579,True,ok,
sample_1,1,Processed,Awake,30,30,12,sample_1_awake_w0006_60s_h2,sample_1_awake_w0006_60s,h2,50.000000000045475,1500,8,0.16,8,56,euclidean,2,2,125.99004114070155,0.02,0.020000457105813763,0.0,True,0.9374610430085186,5.051217464315701,1.875981414326281,211,0.9284749636401413,3.7798688940579406,10,3573,9458,True,ok,
sample_1,1,Processed,Awake,30,30,13,sample_1_awake_w0007_60s_h1,sample_1_awake_w0007_60s,h1,50.000000000045475,1500,8,0.16,8,56,euclidean,2,2,110.25367044262826,0.02,0.020000457105813763,0.0,True,0.9284230209848328,5.162911611785096,2.0485549531127454,143,0.7269634323706627,2.4301962146205938,5,3462,11518,True,ok,
sample_1,1,Processed,Awake,30,30,14,sample_1_awake_w0007_60s_h2,sample_1_awake_w0007_60s,h2,50.000000000045475,1500,8,0.16,8,56,euclidean,2,2,98.17022603562921,0.02,0.020000457105813763,0.0,True,0.9164762102638687,4.808939765603707,1.9168452038748545,94,0.6128973613131103,2.2904979132291565,5,3669,10303,True,ok,
sample_1,1,Processed,Awake,30,30,15,sample_1_awake_w0008_60s_h1,sample_1_awake_w0008_60s,h1,50.000000000045475,1500,8,0.16,8,56,euclidean,2,2,109.14877833042154,0.02,0.020000457105813763,0.0,True,0.8966860585913152,4.155753490611459,1.7738472811604193,104,0.6848639102430917,2.4036095159967186,5,4154,10971,True,ok,
sample_1,1,Processed,Awake,30,30,16,sample_1_awake_w0008_60s_h2,sample_1_awake_w0008_60s,h2,50.000000000045475,1500,8,0.16,8,56,euclidean,2,2,125.72570248932566,0.02,0.020000457105813763,0.0,True,0.8765323083316019,4.1512915129151295,1.5629991317240597,216,0.8931279867026802,3.4217910447761195,8,4065,10050,True,ok,
sample_1,1,Processed,Awake,30,30,17,sample_1_awake_w0009_60s_h1,sample_1_awake_w0009_60s,h1,50.000000000045475,1500,8,0.16,8,56,euclidean,2,2,125.58631558621352,0.02,0.020000457105813763,0.0,True,0.8789216704757947,4.026891956211328,1.6892439185455228,86,0.8158632869312279,2.6712585034013605,6,4202,11760,True,ok,
sample_1,1,Processed,Awake,30,30,18,sample_1_awake_w0009_60s_h2,sample_1_awake_w0009_60s,h2,50.000000000045475,1500,8,0.16,8,56,euclidean,2,2,91.43881277459388,0.02,0.020000457105813763,0.0,True,0.9238520673176813,5.022874894097712,2.043113942496234,153,0.5614481612300021,2.2681775259678942,4,3541,9531,True,ok,
sample_1,1,Processed,Awake,30,30,19,sample_1_awake_w0010_60s_h1,sample_1_awake_w0010_60s,h1,50.000000000045475,1500,8,0.16,8,56,euclidean,2,2,96.2208412557026,0.02,0.020000457105813763,0.0,True,0.9129960523581966,4.887931034482759,1.9239798379005075,95,0.6484780801994598,2.3350790236603385,5,3596,10693,True,ok,
