session,session_id,state,window_id,window_30_id,parent_window_60_id,subwindow,duration_s,window_size_s,representation,fs,n_samples,m,tau_seconds,tau_samples,theiler_seconds,theiler_samples,n_horizons,horizon_min_s,horizon_max_s,Mean_CC,Mean_NRMSE,mean_valid_fraction,minimum_valid_fraction,valid,status,failure_reason
sample_1,1,Awake,1,sample_1_awake_w0001_60s_h1,sample_1_awake_w0001_60s,h1,30,30,Processed,50.000000000045475,1500,8,0.16,8,1.0,50,18,0.04,4.0,0.7788551923179675,0.5382827572644175,1.0,1.0,True,ok,
sample_1,1,Awake,2,sample_1_awake_w0001_60s_h2,sample_1_awake_w0001_60s,h2,30,30,Processed,50.000000000045475,1500,8,0.16,8,1.0,50,18,0.04,4.0,0.7275857045066461,0.6042708360210867,1.0,1.0,True,ok,
sample_1,1,Awake,3,sample_1_awake_w0002_60s_h1,sample_1_awake_w0002_60s,h1,30,30,Processed,50.000000000045475,1500,8,0.16,8,1.0,50,18,0.04,4.0,0.6632999096205724,0.6202939620711139,1.0,1.0,True,ok,
sample_1,1,Awake,4,sample_1_awake_w0002_60s_h2,sample_1_awake_w0002_60s,h2,30,30,Processed,50.000000000045475,1500,8,0.16,8,1.0,50,18,0.04,4.0,0.682061037245884,0.6224452539636732,1.0,1.0,True,ok,
sample_1,1,Awake,5,sample_1_awake_w0003_60s_h1,sample_1_awake_w0003_60s,h1,30,30,Processed,50.000000000045475,1500,8,0.16,8,1.0,50,18,0.04,4.0,0.7505500810380457,0.546894058926489,1.0,1.0,True,ok,
sample_1,1,Awake,6,sample_1_awake_w0003_60s_h2,sample_1_awake_w0003_60s,h2,30,30,Processed,50.000000000045475,1500,8,0.16,8,1.0,50,18,0.04,4.0,0.5700933960235303,0.7123731025940921,1.0,1.0,True,ok,
sample_1,1,Awake,7,sample_1_awake_w0004_60s_h1,sample_1_awake_w0004_60s,h1,30,30,Processed,50.000000000045475,1500,8,0.16,8,1.0,50,18,0.04,4.0,0.7152066015052018,0.5869361908608761,1.0,1.0,True,ok,
sample_1,1,Awake,8,sample_1_awake_w0004_60s_h2,sample_1_awake_w0004_60s,h2,30,30,Processed,50.000000000045475,1500,8,0.16,8,1.0,50,18,0.04,4.0,0.6213562250402158,0.6734115702993714,1.0,1.0,True,ok,
sample_1,1,Awake,9,sample_1_awake_w0005_60s_h1,sample_1_awake_w0005_60s,h1,30,30,Processed,50.000000000045475,1500,8,0.16,8,1.0,50,18,0.04,4.0,0.7677640016013174,0.5611969079092509,1.0,1.0,True,ok,
sample_1,1,Awake,10,sample_1_awake_w0005_60s_h2,sample_1_awake_w0005_60s,h2,30,30,Processed,50.000000000045475,1500,8,0.16,8,1.0,50,18,0.04,4.0,0.5986869368930416,0.6669404405667173,1.0,1.0,True,ok,
