session,window_size_s,label,representation,n_windows,n_tau_found,median_tau_seconds,iqr_tau_seconds,tau_found_rate
sample_1.csv,60,Awake,Processed,24,24,0.24999999999977257,0.16499999999984993,100.0
sample_1.csv,60,Awake,Raw,14,14,0.3799999999996544,0.0999999999999091,100.0
sample_1.csv,60,Drowsy,Processed,7,7,0.2599999999997635,0.10999999999989996,100.0
sample_1.csv,60,Drowsy,Raw,3,3,0.3799999999996544,0.01999999999998181,100.0
sample_1.csv,120,Awake,Processed,11,11,0.2599999999997635,0.14999999999986358,100.0
sample_1.csv,120,Awake,Raw,8,8,0.3999999999996362,0.04499999999995907,100.0
sample_1.csv,120,Drowsy,Processed,1,1,0.2599999999997635,0.0,100.0
sample_1.csv,180,Awake,Processed,6,6,0.18999999999982714,0.15499999999985903,100.0
sample_1.csv,180,Awake,Raw,5,5,0.419999999999618,0.01999999999998181,100.0
sample_1.csv,180,Drowsy,Processed,1,1,0.2599999999997635,0.0,100.0
sample_10.csv,60,Awake,Processed,27,27,0.1600112915039062,0.10000705718994146,100.0
sample_10.csv,60,Awake,Raw,27,27,0.2000141143798828,0.04000282287597662,100.0
sample_10.csv,60,Drowsy,Processed,9,9,0.1600112915039062,0.04000282287597659,100.0
sample_10.csv,60,Drowsy,Raw,8,8,0.1800127029418945,0.0600042343139649,100.0
sample_10.csv,120,Awake,Processed,12,12,0.2000141143798828,0.1600112915039063,100.0
sample_10.csv,120,Awake,Raw,12,12,0.2000141143798828,0.02000141143798828,100.0
sample_10.csv,120,Drowsy,Processed,4,4,0.1600112915039062,0.01000070571899414,100.0
sample_10.csv,120,Drowsy,Raw,4,4,0.1600112915039062,0.01000070571899414,100.0
sample_10.csv,180,Awake,Processed,7,7,0.2000141143798828,0.140009880065918,100.0
sample_10.csv,180,Awake,Raw,7,7,0.2000141143798828,0.08000564575195315,100.0
sample_10.csv,180,Drowsy,Processed,2,2,0.1600112915039062,0.0,100.0
sample_10.csv,180,Drowsy,Raw,2,2,0.1800127029418945,0.020001411437988337,100.0
sample_11.csv,60,Awake,Processed,20,20,0.200049877166748,0.12002992630004888,100.0
sample_11.csv,60,Awake,Raw,20,20,0.2800698280334472,0.08001995086669922,100.0
sample_11.csv,60,Drowsy,Processed,18,18,0.200049877166748,0.07001745700836179,100.0
sample_11.csv,60,Drowsy,Raw,16,16,0.200049877166748,0.08001995086669922,100.0
sample_11.csv,120,Awake,Processed,9,9,0.2800698280334472,0.16003990173339847,100.0
