window_size_s,label,representation,n_windows,median_tau_seconds,median_abs_difference_seconds,iqr_abs_difference_seconds,p90_abs_difference_seconds,p95_abs_difference_seconds,within_1_sample_pct,within_2_samples_pct
60,Awake,Processed,596,0.1600242000004073,0.07996999999950281,0.04002705000032173,0.12008799999903197,0.16003599999958168,30.033557046979865,67.28187919463086
60,Awake,Raw,550,0.2000325000000202,0.03997579999959272,0.08001500000136733,0.1999910000006821,0.28011303999926435,58.54545454545455,70.9090909090909
60,Drowsy,Processed,305,0.1200510000001031,0.07996939999996482,0.0399855800003195,0.08000300000010162,0.11999200000063859,22.950819672131146,77.04918032786885
60,Drowsy,Raw,267,0.2000325000000202,0.0399600982666016,0.07996888006636024,0.1599946000003001,0.1999999999996362,60.2996254681648,74.53183520599251
120,Awake,Processed,269,0.160027999999329,0.07997900000050331,0.07996799999964407,0.12009120000020629,0.16006826733992055,24.907063197026023,60.594795539033456
120,Awake,Raw,245,0.200054999999395,0.03998870849609382,0.11996699999826882,0.2799927400005401,0.32016484000289436,51.02040816326531,58.77551020408164
120,Drowsy,Processed,136,0.1200510000001031,0.07997103684988359,0.02499645375019926,0.1200135799999941,0.16001836097534045,19.852941176470587,69.11764705882352
120,Drowsy,Raw,118,0.2000500000008287,0.03995520000019047,0.11994437000045369,0.23999229999961924,0.24013464000029777,60.16949152542372,67.79661016949152
180,Awake,Processed,161,0.1600400000006629,0.07998049999998791,0.07998958000081857,0.12009120000020629,0.16003599999958168,23.60248447204969,57.7639751552795
180,Awake,Raw,147,0.200054999999395,0.03998870849609382,0.12003259999983126,0.2800148440001009,0.32002332867156225,51.70068027210885,59.183673469387756
180,Drowsy,Processed,77,0.1200510000001031,0.07997007369995121,0.02000181500010155,0.11999516000036009,0.12008160000086712,19.480519480519483,67.53246753246754
180,Drowsy,Raw,71,0.2000850000001719,0.03996000000024652,0.1199635799991654,0.20006050000101822,0.2400989999984119,54.929577464788736,67.6056338028169
