rule,session,source_file,source_samples,retained_samples,retained_intervals,fs,awake_candidate_windows,awake_sqi_pass_windows,awake_stationarity_pass_windows,awake_stationarity_pass_after_sqi_windows,awake_included_windows,drowsy_candidate_windows,drowsy_sqi_pass_windows,drowsy_stationarity_pass_windows,drowsy_stationarity_pass_after_sqi_windows,drowsy_included_windows,paired
S5,01,sample_1.csv,117828,68474,2,50.000000000045475,17,17,17,17,17,5,4,3,2,2,True
S5,04,sample_4.csv,75416,61892,3,24.991877639597273,27,27,27,27,27,13,13,13,13,13,True
S5,05,sample_5.csv,91211,87013,5,25.002500250041432,36,35,34,34,34,19,19,16,16,16,True
S5,06,sample_6.csv,79179,75275,5,24.9931268901808,33,33,32,32,32,16,16,15,15,15,True
S5,07,sample_7.csv,79768,75003,3,24.99375156214797,38,38,34,34,34,10,10,9,9,9,True
S5,08,sample_8.csv,77595,66130,3,24.993751562005933,37,37,35,35,35,6,6,6,6,6,True
S5,09,sample_9.csv,119272,110386,6,25.000625015575494,49,49,45,45,45,21,21,18,18,18,True
S5,10,sample_10.csv,60386,49276,3,24.998235827015687,27,27,27,27,27,5,5,5,5,5,True
S5,11,sample_11.csv,61582,61547,4,24.993766908601188,21,21,21,21,21,18,18,18,18,18,True
S5,12,sample_12.csv,89853,82436,6,24.9893795136852,21,21,20,20,20,32,32,32,32,32,True
S5,13,sample_13.csv,76473,76401,4,25.000378130691093,26,26,26,26,26,24,24,23,23,23,True
S5,14,sample_14.csv,85948,76449,5,24.993626625203223,33,33,30,30,30,14,14,13,13,13,True
S5,15,sample_15.csv,69362,45036,2,24.99562576559584,29,29,27,27,27,0,0,0,0,0,False
S5,17,sample_17.csv,68752,64077,4,24.99287703003033,29,29,28,28,28,11,11,10,10,10,True
S5,18,sample_18.csv,69937,69884,5,24.997500250004045,20,20,20,20,20,25,25,22,22,22,True
S5,19,sample_19.csv,73041,72699,5,24.996219321763952,34,34,34,34,34,12,12,11,11,11,True
S5,21,sample_21.csv,69660,56389,3,25.000000000022737,22,22,22,22,22,14,14,12,12,12,True
S5,22,sample_22.csv,74710,63139,4,25.000625015646552,28,28,27,27,27,13,13,12,12,12,True
S5,23,sample_23.csv,109452,109398,5,24.997500250004045,57,57,53,53,53,13,13,13,13,13,True
S5,25,sample_25.csv,70613,58505,4,24.99593816004646,22,22,22,22,22,15,15,15,15,15,True
