session,rule,segment_id,retained_interval_id,state,source_start_index,source_end_index,filtered_start_index,filtered_end_index,start_s,end_s,duration_s,n_samples
01,S5,1,1,Awake,0,52737,0,52737,2.63,1057.35,1054.7399999999998,52737
01,S5,2,2,Drowsy,52737,68474,52737,68474,1057.37,1372.09,314.74,15737
04,S5,2,1,Awake,4824,17440,0,12616,195.4344797,701.9905512,506.5955563,12616
04,S5,4,2,Awake,22459,51804,12616,41961,903.6004734,2082.049838,1178.4894336,29345
04,S5,7,3,Drowsy,54769,74700,41961,61892,2201.150328,3001.500009,800.389694,19931
05,S5,2,1,Awake,26,39946,0,39920,1.021755695,1599.1096,1598.127840305,39920
05,S5,5,2,Drowsy,41613,52077,39920,50384,1665.879285,2084.669559,418.830234,10464
05,S5,6,3,Awake,52077,67197,50384,65504,2084.709519,2689.849437,605.1907190000002,15120
05,S5,7,4,Drowsy,67197,79828,65504,78135,2689.900238,3195.379294,505.51978199999985,12631
05,S5,9,5,Drowsy,82330,91208,78135,87013,3295.539625,3650.799804,355.3001750000003,8878
06,S5,2,1,Awake,22,7859,0,7837,0.952121973,315.6207809,314.7086699269999,7837
06,S5,5,2,Awake,7975,22514,7837,22376,320.4570489,904.2607927,583.8527923,14539
06,S5,8,3,Drowsy,26277,36938,22376,33037,1055.440102,1483.550895,428.1498220000001,10661
06,S5,9,4,Awake,36938,65630,33037,61729,1483.589924,2635.809972,1152.2602569999997,28692
06,S5,10,5,Drowsy,65630,79176,61729,75275,2635.850181,3179.750769,543.9405990000002,13546
07,S5,3,1,Awake,362,27846,0,27484,14.61673331,1118.399525,1103.8229766900001,27484
07,S5,5,2,Awake,32246,63625,27484,58863,1295.150019,2555.319575,1260.2096159999999,31379
07,S5,6,3,Drowsy,63625,79765,58863,75003,2555.359635,3203.449967,648.1303420000002,16140
08,S5,2,1,Awake,21,44119,0,44098,0.889225483,1771.870669,1771.021453517,44098
08,S5,6,2,Awake,55561,68461,44098,56998,2231.420506,2749.431056,518.0499180000002,12900
08,S5,7,3,Drowsy,68461,77593,56998,66130,2749.470424,3116.160144,366.72973,9132
09,S5,3,1,Awake,937,24874,0,23937,10.94799399,969.1200893,958.2120943100001,23937
09,S5,4,2,Awake,24874,44838,23937,43901,969.2121582,1768.380407,799.2084918,19964
09,S5,5,3,Drowsy,44838,67203,43901,66266,1768.42065,2663.509785,895.1291340000002,22365
09,S5,8,4,Awake,68726,78154,66266,75694,2724.499784,3101.790095,377.3303099999998,9428
09,S5,9,5,Awake,78154,101098,75694,98638,3101.935892,4020.049869,918.1539760000001,22944
09,S5,11,6,Drowsy,107519,119267,98638,110386,4277.069807,4747.220085,470.19027700000015,11748
10,S5,2,1,Awake,31,15807,0,15776,1.325752019882202,634.8102760314941,633.524331331253,15776
10,S5,4,2,Awake,22971,48618,15776,41423,922.570202112198,1952.570098876953,1030.0398995876308,25647
10,S5,6,3,Drowsy,52529,60382,41423,49276,2109.689926147461,2425.050050973892,315.40012764930725,7853
