rule,session,source_file,source_samples,retained_samples,retained_intervals,fs,awake_candidate_windows,awake_sqi_pass_windows,awake_stationarity_pass_windows,awake_stationarity_pass_after_sqi_windows,awake_included_windows,drowsy_candidate_windows,drowsy_sqi_pass_windows,drowsy_stationarity_pass_windows,drowsy_stationarity_pass_after_sqi_windows,drowsy_included_windows,paired
T30,01,sample_1.csv,117828,96821,8,50.000000000045475,21,21,21,21,21,8,7,7,6,6,True
T30,04,sample_4.csv,75416,69325,8,24.991877639597273,28,28,28,28,28,14,14,14,14,14,True
T30,05,sample_5.csv,91211,83716,10,25.002500250041432,35,34,33,33,33,17,17,16,16,16,True
T30,06,sample_6.csv,79179,73168,10,24.9931268901808,32,32,32,32,32,15,15,15,15,15,True
T30,07,sample_7.csv,79768,75286,7,24.99375156214797,36,36,33,33,33,11,11,7,7,7,True
T30,08,sample_8.csv,77595,73114,8,24.993751562005933,38,38,36,36,36,8,8,8,8,8,True
T30,09,sample_9.csv,119272,114775,12,25.000625015575494,50,50,43,43,43,21,21,20,20,20,True
T30,10,sample_10.csv,60386,55904,7,24.998235827015687,28,28,28,28,28,7,7,7,7,7,True
T30,11,sample_11.csv,61582,57100,6,24.993766908601188,20,20,20,20,20,17,17,17,17,17,True
T30,12,sample_12.csv,89853,78720,9,24.9893795136852,18,18,17,17,17,31,31,31,31,31,True
T30,13,sample_13.csv,76473,71990,6,25.000378130691093,25,25,25,25,25,22,22,20,20,20,True
T30,14,sample_14.csv,85948,78481,10,24.993626625203223,32,32,31,31,31,16,16,14,14,14,True
T30,15,sample_15.csv,69362,61658,11,24.99562576559584,31,31,30,30,30,5,5,4,4,4,True
T30,17,sample_17.csv,68752,64272,6,24.99287703003033,28,28,27,27,27,13,13,12,12,12,True
T30,18,sample_18.csv,69937,65455,7,24.997500250004045,18,18,18,18,18,23,23,23,23,23,True
T30,19,sample_19.csv,73041,68560,7,24.996219321763952,33,33,33,33,33,10,10,10,10,10,True
T30,21,sample_21.csv,69660,62192,8,25.000000000022737,24,24,24,24,24,14,14,14,14,14,True
T30,22,sample_22.csv,74710,67244,8,25.000625015646552,30,30,29,29,29,13,13,13,13,13,True
T30,23,sample_23.csv,109452,104969,7,24.997500250004045,55,55,50,50,50,12,12,10,10,10,True
T30,25,sample_25.csv,70613,66132,9,24.99593816004646,28,28,28,28,28,13,13,13,13,13,True
