session,rule,segment_id,retained_interval_id,state,source_start_index,source_end_index,filtered_start_index,filtered_end_index,start_s,end_s,duration_s,n_samples
01,T30,1,1,Awake,0,51237,0,51237,2.63,1027.35,1024.7399999999998,51237
01,T30,2,2,Drowsy,54238,66974,51237,63973,1087.39,1342.09,254.7199999999998,12736
01,T30,3,3,Awake,69975,75161,63973,69159,1402.13,1505.83,103.7199999999998,5186
01,T30,4,4,Drowsy,78162,85521,69159,76518,1565.87,1713.03,147.18000000000006,7359
01,T30,5,5,Awake,88522,98881,76518,86877,1773.07,1980.23,207.18000000000006,10359
01,T30,6,6,Drowsy,101882,106585,86877,91580,2040.27,2134.31,94.05999999999995,4703
01,T30,7,7,Awake,109586,110106,91580,92100,2194.35,2204.73,10.400000000000091,520
01,T30,8,8,Drowsy,113107,117828,92100,96821,2264.77,2359.17,94.42000000000007,4721
04,T30,1,1,Awake,0,4824,0,4824,1.589780092,195.3005199,193.75075280800027,4824
04,T30,2,2,Awake,4824,16693,4824,16693,195.4344797,671.9905469,476.59608749999995,11869
04,T30,3,3,Drowsy,18187,21712,16693,20218,732.0302362,873.5602951,141.57032900000002,3525
04,T30,4,4,Awake,23207,51057,20218,48068,933.6402872,2052.049937,1118.4500768000003,27850
04,T30,5,5,Drowsy,52552,53910,48068,49426,2112.120285,2166.610269,54.53031599999986,1358
04,T30,7,6,Drowsy,55517,74700,49426,68609,2231.189775,3001.500009,770.3502470000003,19183
04,T30,8,7,Drowsy,74700,75413,68609,69322,3001.627182,3030.130873,28.54370400000016,713
04,T30,9,8,Drowsy,75413,75416,69322,69325,3030.275311,3030.275705,0.04040700000041397,3
05,T30,1,1,Awake,0,26,0,26,0.079678297,0.949347258,0.9096649609999737,26
05,T30,2,2,Awake,26,39946,26,39946,1.021755695,1599.1096,1598.127840305,39920
05,T30,3,3,Awake,39946,40003,39946,40003,1599.177884,1601.400358,2.262470000000121,57
05,T30,4,4,Awake,40003,40864,40003,40864,1601.491501,1635.859525,34.408619000000044,861
05,T30,5,5,Drowsy,42363,51328,40864,49829,1695.899528,2054.689296,358.8297910000001,8965
05,T30,6,6,Awake,52827,66448,49829,63450,2114.730072,2659.87977,545.189695,13621
05,T30,7,7,Drowsy,67947,79079,63450,74582,2719.910112,3165.40011,445.52942900000016,11132
05,T30,8,8,Awake,80578,81581,74582,75585,3225.429742,3265.529372,40.14032300000008,1003
05,T30,9,9,Drowsy,83080,91208,75585,83713,3325.559333,3650.799804,325.28046700000004,8128
05,T30,10,10,Drowsy,91208,91211,83713,83716,3650.950265,3650.950561,0.040292000000135886,3
06,T30,1,1,Awake,0,22,0,22,0.076048613,0.830703735,0.7946661219998791,22
06,T30,2,2,Awake,22,7859,22,7859,0.952121973,315.6207809,314.7086699269999,7837
06,T30,3,3,Awake,7859,7893,7859,7893,315.81971,316.9906075,1.2109084999999027,34
06,T30,4,4,Awake,7893,7975,7893,7975,317.1073637,320.2807133,3.2133605999998736,82
06,T30,5,5,Awake,7975,21768,7975,21768,320.4570489,874.3002288,553.8836853,13793
06,T30,6,6,Drowsy,23261,25496,21768,24003,934.3105507,1024.030668,89.76025830000003,2235
06,T30,8,7,Drowsy,27025,36191,24003,33169,1085.479834,1453.560676,368.120101,9166
06,T30,9,8,Awake,37686,64884,33169,60367,1513.639962,2605.849907,1092.2500080000002,27198
06,T30,10,9,Drowsy,66378,79176,60367,73165,2665.889996,3179.750769,513.9007840000002,12798
06,T30,11,10,Drowsy,79176,79179,73165,73168,3179.874259,3179.874706,0.04045799999977362,3
07,T30,1,1,Awake,0,34,0,34,0.077609062,1.299525976,1.2619269139999383,34
07,T30,2,2,Awake,34,362,34,362,1.44337225,14.46954417,13.06618191999994,328
07,T30,3,3,Awake,362,27100,362,27100,14.61673331,1088.439527,1073.86377569,26738
07,T30,4,4,Drowsy,28594,31499,27100,30005,1148.480624,1265.109579,116.6697529999999,2905
07,T30,5,5,Awake,32993,62878,30005,59890,1325.160509,2525.330422,1200.2089640000002,29885
07,T30,6,6,Drowsy,64372,79765,59890,75283,2585.359946,3203.449967,618.1300309999999,15393
07,T30,7,7,Drowsy,79765,79768,75283,75286,3203.580321,3203.58067,0.04035899999985304,3
08,T30,1,1,Awake,0,21,0,21,0.075852394,0.760113239,0.7242708450001658,21
08,T30,2,2,Awake,21,44119,21,44119,0.889225483,1771.870669,1771.021453517,44098
08,T30,3,3,Awake,44119,44571,44119,44571,1771.935745,1790.020632,18.124897000000146,452
08,T30,4,4,Awake,44571,47758,44571,47758,1790.131517,1918.010145,127.9189859999999,3187
08,T30,5,5,Drowsy,49253,54815,47758,53320,1978.090096,2201.420095,223.37091899999996,5562
08,T30,6,6,Awake,56308,67715,53320,64727,2261.420795,2719.470101,458.089962,11407
08,T30,7,7,Drowsy,69208,77593,64727,73112,2779.470992,3116.160144,336.7291620000001,8385
08,T30,8,8,Drowsy,77593,77595,73112,73114,3116.269978,3116.270199,0.04023100000040358,2
09,T30,1,1,Awake,0,689,0,689,0.079853058,0.860676527,0.8208224690000798,689
09,T30,2,2,Awake,689,937,689,937,1.003372192,10.79018736,9.826814168000078,248
09,T30,3,3,Awake,937,24874,937,24874,10.94799399,969.1200893,958.2120943100001,23937
09,T30,4,4,Awake,24874,44089,24874,44089,969.2121582,1738.390339,769.2279288,19215
09,T30,5,5,Drowsy,45588,67203,44089,65704,1798.450457,2663.509785,865.0993270000004,21615
09,T30,6,6,Drowsy,67203,67286,65704,65787,2663.584385,2666.830415,3.2860289999998713,83
09,T30,7,7,Drowsy,67286,67977,65787,66478,2666.931068,2694.480465,27.588995000000068,691
09,T30,8,8,Awake,69476,78154,66478,75156,2754.519869,3101.790095,347.3102249999997,8678
09,T30,9,9,Awake,78154,101098,75156,98100,3101.935892,4020.049869,918.1539760000001,22944
09,T30,10,10,Awake,101098,106770,98100,103772,4020.142181,4247.049762,226.94762300000002,5672
09,T30,11,11,Drowsy,108269,119267,103772,114770,4307.089768,4747.220085,440.1703160000002,10998
09,T30,12,12,Drowsy,119267,119272,114770,114775,4747.4096,4747.410185,0.040583999999853404,5
10,T30,1,1,Awake,0,31,0,31,0.075451374053955,1.190474271774292,1.1550257205963135,31
10,T30,2,2,Awake,31,15061,31,15061,1.325752019882202,604.8495798110962,603.5639307498932,15030
10,T30,3,3,Drowsy,16555,22225,15061,20731,664.890406370163,892.5697593688965,227.71948862075806,5670
10,T30,4,4,Awake,23719,48618,20731,45630,952.610301733017,1952.570098876953,999.9997999668119,24899
10,T30,5,5,Awake,48618,51783,45630,48795,1952.6501932144165,2079.689826965332,127.079758644104,3165
10,T30,6,6,Drowsy,53277,60382,48795,55900,2139.72953414917,2425.050050973892,285.36051964759827,7105
10,T30,7,7,Drowsy,60382,60386,55900,55904,2425.204045534134,2425.2045135498047,0.04047083854675293,4
11,T30,1,1,Awake,0,32,0,32,0.077824592590332,1.2002737522125244,1.162459135055542,32
11,T30,2,2,Awake,32,15084,32,15084,1.306063175201416,605.6902613639832,604.4337861537933,15052
11,T30,3,3,Drowsy,16578,29100,15084,27606,665.7394258975983,1168.5899741649628,502.8903212547302,12522
11,T30,4,4,Awake,30594,46332,27606,43344,1228.629913330078,1860.5996878147123,632.0102899074557,15738
11,T30,5,5,Drowsy,47826,61579,43344,57097,1920.639751911164,2472.8601813316345,552.2604393959039,13753
11,T30,6,6,Drowsy,61579,61582,57097,57100,2472.987951517105,2472.9882621765137,0.040320634841918945,3
12,T30,1,1,Awake,0,13339,0,13339,1.359906912,537.0800674,535.7600895879999,13339
12,T30,4,2,Drowsy,16225,19945,13339,17059,653.039402,802.3994675,149.4010654,3720
12,T30,5,3,Awake,21439,27498,17059,23118,862.439769,1105.73984,243.3404730000001,6059
12,T30,6,4,Drowsy,28992,35436,23118,29562,1165.779888,1424.530108,258.79051200000004,6444
12,T30,8,5,Drowsy,37705,44736,29562,36593,1515.689787,1798.009623,282.360095,7031
12,T30,9,6,Awake,46231,55421,36593,45783,1858.079831,2227.089959,369.05027500000006,9190
12,T30,10,7,Drowsy,56916,89816,45783,78683,2287.159633,3608.199698,1321.0800819999997,32900
12,T30,11,8,Drowsy,89816,89850,78683,78717,3608.338382,3609.569969,1.2716040000002522,34
12,T30,12,9,Drowsy,89850,89853,78717,78720,3609.716321,3609.716688,0.04038400000013098,3
13,T30,1,1,Awake,0,68,0,68,0.075252295,2.660028219,2.624775319000045,68
13,T30,2,2,Awake,68,10798,68,10798,2.7839818,433.5908227,430.8469746,10730
13,T30,3,3,Drowsy,12292,31804,10798,30310,493.6310828,1277.19073,783.5994321999999,19512
13,T30,4,4,Awake,33298,60530,30310,57542,1337.230883,2430.850972,1093.659352,27232
13,T30,5,5,Drowsy,62025,76469,57542,71986,2490.930073,3070.94015,580.0500763949999,14444
13,T30,6,6,Drowsy,76469,76473,71986,71990,3071.096043,3071.096517,0.040473394999985146,4
14,T30,1,1,Awake,0,143,0,143,0.078132391,5.680231571,5.642109380000012,143
14,T30,2,2,Awake,143,14327,143,14327,5.825064182,575.4200392,569.634440618,14184
14,T30,3,3,Drowsy,15820,19285,14327,17792,635.4301085,774.5594959,139.16992170000003,3465
14,T30,4,4,Awake,20778,35728,17792,32742,834.5702651,1434.970104,600.4398648999999,14950
14,T30,5,5,Drowsy,37222,45203,32742,40723,1495.010288,1815.489409,320.52006700000015,7981
14,T30,6,6,Awake,46697,68244,40723,62270,1875.53041,2740.809639,865.3192392,21547
14,T30,7,7,Awake,68244,68559,62270,62585,2740.897252,2753.45978,12.60280399999965,315
14,T30,9,8,Drowsy,70052,72639,62585,65172,2813.460199,2917.309927,103.8897381999997,2587
14,T30,10,9,Drowsy,72639,85945,65172,78478,2917.429798,3451.730322,534.3405341999998,13306
14,T30,11,10,Drowsy,85945,85948,78478,78481,3451.861938,3451.862285,0.040357200000158855,3
15,T30,1,1,Awake,0,71,0,71,0.078166723,2.779408216,2.7412484929998326,71
15,T30,2,2,Awake,71,325,71,325,2.891521692,12.98003697,10.128522277999833,254
15,T30,3,3,Awake,325,36395,325,36395,13.1353631,1461.779537,1448.6841808999998,36070
15,T30,4,4,Awake,36395,36463,36395,36463,1461.858481,1464.509497,2.691022999999859,68
15,T30,5,5,Awake,36463,42177,36463,42177,1464.63276,1693.999448,229.406837,5714
15,T30,6,6,Drowsy,43670,46358,42177,44865,1753.999597,1861.909791,107.9503259999999,2688
15,T30,7,7,Awake,47852,48932,44865,45945,1921.959315,1965.289362,43.37085699999989,1080
15,T30,8,8,Drowsy,50425,52936,45945,48456,2025.299457,2126.099392,100.84073399999988,2511
15,T30,10,9,Awake,54429,61902,48456,55929,2186.110398,2486.189469,300.1190810000003,7473
15,T30,13,10,Drowsy,63633,69360,55929,61656,2555.750083,2785.709462,229.99938599999973,5727
15,T30,14,11,Drowsy,69360,69362,61656,61658,2785.826571,2785.82676,0.04019599999969614,2
17,T30,1,1,Awake,0,23068,0,23068,2.920237541,929.5502899,926.660054459,23068
17,T30,2,2,Drowsy,24561,27740,23068,26247,989.5608327,1117.200428,127.67906429999994,3179
17,T30,3,3,Awake,29234,49527,26247,46540,1177.250078,1992.249969,815.040094,20293
17,T30,4,4,Drowsy,51020,59054,46540,54574,2052.250003,2374.860415,322.6504234,8034
17,T30,5,5,Drowsy,59054,68749,54574,64269,2375.01883,2764.220021,389.24120240000013,9695
17,T30,6,6,Drowsy,68749,68752,64269,64272,2764.344043,2764.34439,0.04035840000017288,3
18,T30,1,1,Awake,0,50,0,50,0.072195292,1.940416098,1.9082248059999536,50
18,T30,2,2,Awake,50,22165,50,22165,2.052605152,890.2705061,888.257522548,22115
18,T30,3,3,Drowsy,23658,33903,22165,32410,950.2810471,1361.710366,411.46932289999995,10245
18,T30,4,4,Drowsy,33903,42526,32410,41033,1361.830328,1708.110957,346.3198829999999,8623
18,T30,5,5,Awake,44020,50249,41033,47262,1768.150175,2018.28043,250.170842,6229
18,T30,6,6,Drowsy,51744,69934,47262,65452,2078.361162,2808.780125,730.458967,18190
18,T30,7,7,Drowsy,69934,69937,65452,65455,2808.928798,2808.929107,0.04031299999996918,3
19,T30,1,1,Awake,0,152,0,152,0.071507692,4.919271946,4.887770304000102,152
19,T30,2,2,Awake,152,18828,152,18828,5.092982769,755.049247,749.997279131,18676
19,T30,4,3,Drowsy,20322,27186,18828,25692,815.0893476,1090.739391,275.6905433999999,6864
19,T30,5,4,Awake,28679,51099,25692,48112,1150.749461,2051.180243,900.4707880499998,22420
19,T30,6,5,Awake,51099,61735,48112,58748,2051.289698,2478.329638,427.07993099999976,10636
19,T30,7,6,Drowsy,63229,73038,58748,68557,2538.36998,2932.249325,393.9193510500004,9809
19,T30,8,7,Drowsy,73038,73041,68557,68560,2932.399841,2932.400141,0.04030605000025389,3
21,T30,1,1,Awake,0,23,0,23,0.120252132,0.810717583,0.7304654509999636,23
