rule,session,source_file,source_samples,retained_samples,retained_intervals,fs,awake_candidate_windows,awake_sqi_pass_windows,awake_stationarity_pass_windows,awake_stationarity_pass_after_sqi_windows,awake_included_windows,drowsy_candidate_windows,drowsy_sqi_pass_windows,drowsy_stationarity_pass_windows,drowsy_stationarity_pass_after_sqi_windows,drowsy_included_windows,paired
T30,01,sample_1.csv,117828,96821,8,50.000000000045475,21,21,21,21,21,8,7,7,6,6,True
T60,01,sample_1.csv,117828,78301,7,50.000000000045475,18,18,18,18,18,5,4,2,2,2,True
S3,01,sample_1.csv,117828,92194,4,50.000000000045475,21,21,21,21,21,8,7,6,5,5,True
S5,01,sample_1.csv,117828,68474,2,50.000000000045475,17,17,17,17,17,5,4,3,2,2,True
T30,04,sample_4.csv,75416,69325,8,24.991877639597273,28,28,28,28,28,14,14,14,14,14,True
T60,04,sample_4.csv,75416,63486,7,24.991877639597273,27,27,27,27,27,13,13,13,13,13,True
S3,04,sample_4.csv,75416,71735,5,24.991877639597273,30,30,30,30,30,16,16,16,16,16,True
S5,04,sample_4.csv,75416,61892,3,24.991877639597273,27,27,27,27,27,13,13,13,13,13,True
T30,05,sample_5.csv,91211,83716,10,25.002500250041432,35,34,33,33,33,17,17,16,16,16,True
T60,05,sample_5.csv,91211,76717,9,25.002500250041432,34,33,32,32,32,14,14,12,12,12,True
S3,05,sample_5.csv,91211,87013,5,25.002500250041432,36,35,34,34,34,19,19,16,16,16,True
S5,05,sample_5.csv,91211,87013,5,25.002500250041432,36,35,34,34,34,19,19,16,16,16,True
T30,06,sample_6.csv,79179,73168,10,24.9931268901808,32,32,32,32,32,15,15,15,15,15,True
T60,06,sample_6.csv,79179,67193,10,24.9931268901808,30,30,29,29,29,13,13,12,12,12,True
S3,06,sample_6.csv,79179,75275,5,24.9931268901808,33,33,32,32,32,16,16,15,15,15,True
S5,06,sample_6.csv,79179,75275,5,24.9931268901808,33,33,32,32,32,16,16,15,15,15,True
T30,07,sample_7.csv,79768,75286,7,24.99375156214797,36,36,33,33,33,11,11,7,7,7,True
T60,07,sample_7.csv,79768,70803,7,24.99375156214797,35,35,32,32,32,9,9,8,8,8,True
S3,07,sample_7.csv,79768,75003,3,24.99375156214797,38,38,34,34,34,10,10,9,9,9,True
S5,07,sample_7.csv,79768,75003,3,24.99375156214797,38,38,34,34,34,10,10,9,9,9,True
T30,08,sample_8.csv,77595,73114,8,24.993751562005933,38,38,36,36,36,8,8,8,8,8,True
T60,08,sample_8.csv,77595,68634,8,24.993751562005933,36,36,35,35,35,7,7,7,7,7,True
S3,08,sample_8.csv,77595,73186,4,24.993751562005933,37,37,35,35,35,10,10,10,10,10,True
S5,08,sample_8.csv,77595,66130,3,24.993751562005933,37,37,35,35,35,6,6,6,6,6,True
T30,09,sample_9.csv,119272,114775,12,25.000625015575494,50,50,43,43,43,21,21,20,20,20,True
T60,09,sample_9.csv,119272,110277,11,25.000625015575494,50,50,46,46,46,19,19,17,17,17,True
S3,09,sample_9.csv,119272,116807,7,25.000625015575494,53,53,49,49,49,21,21,18,18,18,True
S5,09,sample_9.csv,119272,110386,6,25.000625015575494,49,49,45,45,45,21,21,18,18,18,True
T30,10,sample_10.csv,60386,55904,7,24.998235827015687,28,28,28,28,28,7,7,7,7,7,True
T60,10,sample_10.csv,60386,51423,7,24.998235827015687,26,26,26,26,26,6,6,6,6,6,True
S3,10,sample_10.csv,60386,56440,4,24.998235827015687,27,27,27,27,27,9,9,9,9,9,True
S5,10,sample_10.csv,60386,49276,3,24.998235827015687,27,27,27,27,27,5,5,5,5,5,True
T30,11,sample_11.csv,61582,57100,6,24.993766908601188,20,20,20,20,20,17,17,17,17,17,True
T60,11,sample_11.csv,61582,52617,6,24.993766908601188,18,18,18,18,18,15,15,15,15,15,True
S3,11,sample_11.csv,61582,61547,4,24.993766908601188,21,21,21,21,21,18,18,18,18,18,True
S5,11,sample_11.csv,61582,61547,4,24.993766908601188,21,21,21,21,21,18,18,18,18,18,True
T30,12,sample_12.csv,89853,78720,9,24.9893795136852,18,18,17,17,17,31,31,31,31,31,True
