session,window_size_s,label,representation,window_id,factor,factor_value,selected_m,m_found
sample_1.csv,60,Awake,Processed,1,R_tol,10.0,5.0,True
sample_1.csv,60,Awake,Processed,1,R_tol,15.0,5.0,True
sample_1.csv,60,Awake,Processed,1,R_tol,20.0,5.0,True
sample_1.csv,60,Awake,Processed,1,A_tol,1.5,5.0,True
sample_1.csv,60,Awake,Processed,1,A_tol,2.0,5.0,True
sample_1.csv,60,Awake,Processed,1,A_tol,2.5,5.0,True
sample_1.csv,60,Awake,Processed,1,fnn_threshold,0.5,5.0,True
sample_1.csv,60,Awake,Processed,1,fnn_threshold,1.0,5.0,True
sample_1.csv,60,Awake,Processed,1,fnn_threshold,2.0,5.0,True
sample_1.csv,60,Awake,Processed,1,theiler_multiplier,0.0,5.0,True
sample_1.csv,60,Awake,Processed,1,theiler_multiplier,1.0,5.0,True
sample_1.csv,60,Awake,Processed,1,theiler_multiplier,2.0,5.0,True
sample_1.csv,60,Awake,Raw,3,R_tol,10.0,7.0,True
sample_1.csv,60,Awake,Raw,3,R_tol,15.0,6.0,True
sample_1.csv,60,Awake,Raw,3,R_tol,20.0,5.0,True
sample_1.csv,60,Awake,Raw,3,A_tol,1.5,6.0,True
sample_1.csv,60,Awake,Raw,3,A_tol,2.0,6.0,True
sample_1.csv,60,Awake,Raw,3,A_tol,2.5,6.0,True
sample_1.csv,60,Awake,Raw,3,fnn_threshold,0.5,7.0,True
sample_1.csv,60,Awake,Raw,3,fnn_threshold,1.0,6.0,True
sample_1.csv,60,Awake,Raw,3,fnn_threshold,2.0,5.0,True
sample_1.csv,60,Awake,Raw,3,theiler_multiplier,0.0,6.0,True
sample_1.csv,60,Awake,Raw,3,theiler_multiplier,1.0,6.0,True
sample_1.csv,60,Awake,Raw,3,theiler_multiplier,2.0,6.0,True
sample_1.csv,60,Drowsy,Processed,18,R_tol,10.0,5.0,True
sample_1.csv,60,Drowsy,Processed,18,R_tol,15.0,5.0,True
sample_1.csv,60,Drowsy,Processed,18,R_tol,20.0,4.0,True
sample_1.csv,60,Drowsy,Processed,18,A_tol,1.5,5.0,True
sample_1.csv,60,Drowsy,Processed,18,A_tol,2.0,5.0,True
sample_1.csv,60,Drowsy,Processed,18,A_tol,2.5,5.0,True
sample_1.csv,60,Drowsy,Processed,18,fnn_threshold,0.5,5.0,True
sample_1.csv,60,Drowsy,Processed,18,fnn_threshold,1.0,5.0,True
sample_1.csv,60,Drowsy,Processed,18,fnn_threshold,2.0,4.0,True
sample_1.csv,60,Drowsy,Processed,18,theiler_multiplier,0.0,5.0,True
sample_1.csv,60,Drowsy,Processed,18,theiler_multiplier,1.0,5.0,True
sample_1.csv,60,Drowsy,Processed,18,theiler_multiplier,2.0,5.0,True
sample_1.csv,60,Drowsy,Raw,18,R_tol,10.0,7.0,True
sample_1.csv,60,Drowsy,Raw,18,R_tol,15.0,6.0,True
