session,window_size_s,label,representation,n_windows,n_m_found,median_m,iqr_m,mode_m,m_found_rate_pct
sample_1.csv,60,Awake,Processed,24,24,5.0,0.0,5.0,100.0
sample_1.csv,60,Awake,Raw,14,14,6.0,0.75,6.0,100.0
sample_1.csv,60,Drowsy,Processed,7,7,5.0,1.0,5.0,100.0
sample_1.csv,60,Drowsy,Raw,3,3,5.0,0.5,5.0,100.0
sample_1.csv,120,Awake,Processed,11,11,5.0,1.0,5.0,100.0
sample_1.csv,120,Awake,Raw,8,8,6.5,1.25,7.0,100.0
sample_1.csv,120,Drowsy,Processed,1,1,5.0,0.0,5.0,100.0
sample_1.csv,180,Awake,Processed,6,6,6.0,0.75,6.0,100.0
sample_1.csv,180,Awake,Raw,5,5,7.0,1.0,7.0,100.0
sample_1.csv,180,Drowsy,Processed,1,1,5.0,0.0,5.0,100.0
sample_10.csv,60,Awake,Processed,27,18,6.0,2.0,5.0,66.66666666666667
sample_10.csv,60,Awake,Raw,27,2,8.0,1.0,7.0,7.407407407407407
sample_10.csv,60,Drowsy,Processed,9,7,5.0,1.5,5.0,77.77777777777777
sample_10.csv,60,Drowsy,Raw,8,0,,,,0.0
sample_10.csv,120,Awake,Processed,12,10,7.0,1.0,7.0,83.33333333333333
sample_10.csv,120,Awake,Raw,12,0,,,,0.0
sample_10.csv,120,Drowsy,Processed,4,3,6.0,1.0,5.0,75.0
sample_10.csv,120,Drowsy,Raw,4,1,10.0,0.0,10.0,25.0
sample_10.csv,180,Awake,Processed,7,6,7.0,1.5,6.0,85.71428571428571
sample_10.csv,180,Awake,Raw,7,0,,,,0.0
sample_10.csv,180,Drowsy,Processed,2,1,6.0,0.0,6.0,50.0
sample_10.csv,180,Drowsy,Raw,2,0,,,,0.0
sample_11.csv,60,Awake,Processed,20,8,5.5,1.0,5.0,40.0
sample_11.csv,60,Awake,Raw,20,1,7.0,0.0,7.0,5.0
sample_11.csv,60,Drowsy,Processed,18,9,6.0,1.0,6.0,50.0
sample_11.csv,60,Drowsy,Raw,16,1,9.0,0.0,9.0,6.25
sample_11.csv,120,Awake,Processed,9,5,7.0,1.0,7.0,55.55555555555556
sample_11.csv,120,Awake,Raw,8,1,9.0,0.0,9.0,12.5
sample_11.csv,120,Drowsy,Processed,8,4,6.0,0.75,6.0,50.0
sample_11.csv,120,Drowsy,Raw,8,0,,,,0.0
sample_11.csv,180,Awake,Processed,5,4,6.0,0.25,6.0,80.0
sample_11.csv,180,Awake,Raw,5,1,7.0,0.0,7.0,20.0
sample_11.csv,180,Drowsy,Processed,6,4,7.0,2.25,6.0,66.66666666666667
sample_11.csv,180,Drowsy,Raw,6,0,,,,0.0
sample_12.csv,60,Awake,Processed,20,20,5.0,3.0,5.0,100.0
sample_12.csv,60,Awake,Raw,19,5,7.0,1.0,7.0,26.31578947368421
sample_12.csv,60,Drowsy,Processed,35,34,5.0,1.0,5.0,97.14285714285714
sample_12.csv,60,Drowsy,Raw,32,5,6.0,1.0,6.0,15.625
sample_12.csv,120,Awake,Processed,8,8,5.0,1.0,5.0,100.0
sample_12.csv,120,Awake,Raw,8,3,9.0,2.0,9.0,37.5
sample_12.csv,120,Drowsy,Processed,16,16,6.0,2.0,5.0,100.0
sample_12.csv,120,Drowsy,Raw,15,1,6.0,0.0,6.0,6.666666666666667
sample_12.csv,180,Awake,Processed,5,5,5.0,0.0,5.0,100.0
sample_12.csv,180,Awake,Raw,5,1,8.0,0.0,8.0,20.0
sample_12.csv,180,Drowsy,Processed,10,10,6.0,0.75,6.0,100.0
sample_12.csv,180,Drowsy,Raw,9,0,,,,0.0
sample_13.csv,60,Awake,Processed,25,10,6.0,1.75,5.0,40.0
sample_13.csv,60,Awake,Raw,24,4,7.5,3.25,6.0,16.666666666666668
sample_13.csv,60,Drowsy,Processed,23,14,6.0,1.75,6.0,60.869565217391305
sample_13.csv,60,Drowsy,Raw,21,3,6.0,0.5,6.0,14.285714285714286
sample_13.csv,120,Awake,Processed,11,5,6.0,0.0,6.0,45.45454545454545
sample_13.csv,120,Awake,Raw,10,1,8.0,0.0,8.0,10.0
sample_13.csv,120,Drowsy,Processed,12,9,6.0,1.0,6.0,75.0
sample_13.csv,120,Drowsy,Raw,10,1,8.0,0.0,8.0,10.0
sample_13.csv,180,Awake,Processed,7,2,7.5,1.5,6.0,28.571428571428573
sample_13.csv,180,Awake,Raw,7,0,,,,0.0
sample_13.csv,180,Drowsy,Processed,6,4,7.0,0.25,7.0,66.66666666666667
sample_13.csv,180,Drowsy,Raw,6,0,,,,0.0
sample_14.csv,60,Awake,Processed,31,28,6.0,2.0,5.0,90.3225806451613
sample_14.csv,60,Awake,Raw,26,6,5.0,0.75,5.0,23.076923076923077
sample_14.csv,60,Drowsy,Processed,17,7,6.0,1.0,6.0,41.1764705882353
sample_14.csv,60,Drowsy,Raw,10,5,4.0,0.0,4.0,50.0
sample_14.csv,120,Awake,Processed,16,13,6.0,1.0,6.0,81.25
sample_14.csv,120,Awake,Raw,13,7,6.0,0.5,6.0,53.84615384615385
sample_14.csv,120,Drowsy,Processed,7,3,7.0,0.5,7.0,42.857142857142854
sample_14.csv,120,Drowsy,Raw,4,3,5.0,0.0,5.0,75.0
sample_14.csv,180,Awake,Processed,9,7,6.0,0.5,6.0,77.77777777777777
