threshold_pct,representation,n_windows,n_m_found,m_found_rate_pct,median_m,iqr_m,mode_m,q10_m,q25_m,q50_m,q75_m,q90_m,min_m,max_m,median_min_fnn_pct
1.0,Processed,1544,1075,69.62435233160622,6.0,2.0,6.0,5.0,5.0,6.0,7.0,8.0,4.0,10.0,0.7412398921832885
1.0,Raw,1398,329,23.533619456366235,6.0,2.0,6.0,5.0,5.0,6.0,7.0,8.199999999999989,4.0,10.0,1.9047619047619049
2.0,Processed,1544,1515,98.12176165803109,5.0,1.0,5.0,4.0,4.0,5.0,5.0,6.0,4.0,9.0,0.7412398921832885
2.0,Raw,1398,759,54.29184549356223,6.0,1.0,5.0,4.0,5.0,6.0,6.0,8.0,3.0,10.0,1.9047619047619049
3.0,Processed,1544,1544,100.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,6.0,0.7412398921832885
3.0,Raw,1398,1193,85.33619456366237,5.0,2.0,5.0,4.0,4.0,5.0,6.0,8.0,3.0,10.0,1.9047619047619049
4.0,Processed,1544,1544,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,0.7412398921832885
4.0,Raw,1398,1372,98.14020028612303,5.0,1.0,4.0,4.0,4.0,5.0,5.0,6.0,3.0,10.0,1.9047619047619049
5.0,Processed,1544,1544,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,0.7412398921832885
5.0,Raw,1398,1397,99.92846924177397,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,10.0,1.9047619047619049
