session,threshold_pct,window_size_s,label,representation,n_windows,n_m_found,m_found_rate_pct,median_m,iqr_m,mode_m,q10_m,q25_m,q50_m,q75_m,q90_m,min_m,max_m,median_min_fnn_pct
sample_1.csv,1.0,60,Awake,Processed,24,24,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,8.0,0.10190518387239694
sample_1.csv,1.0,60,Awake,Raw,14,14,100.0,6.0,0.75,6.0,5.0,6.0,6.0,6.75,7.700000000000001,5.0,8.0,0.0513118234169569
sample_1.csv,1.0,60,Drowsy,Processed,7,7,100.0,5.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,0.0681198910081743
sample_1.csv,1.0,60,Drowsy,Raw,3,3,100.0,5.0,0.5,5.0,5.0,5.0,5.0,5.5,5.8,5.0,6.0,0.0
sample_1.csv,1.0,120,Awake,Processed,11,11,100.0,5.0,1.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,0.1347708894878706
sample_1.csv,1.0,120,Awake,Raw,8,8,100.0,6.5,1.25,7.0,5.0,5.75,6.5,7.0,7.0,5.0,7.0,0.0084745762711864
sample_1.csv,1.0,120,Drowsy,Processed,1,1,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0675675675675675
sample_1.csv,1.0,180,Awake,Processed,6,6,100.0,6.0,0.75,6.0,5.0,5.25,6.0,6.0,6.0,5.0,6.0,0.26309150213545623
sample_1.csv,1.0,180,Awake,Raw,5,5,100.0,7.0,1.0,7.0,5.4,6.0,7.0,7.0,7.0,5.0,7.0,0.0
sample_1.csv,1.0,180,Drowsy,Processed,1,1,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0670840787119856
sample_1.csv,2.0,60,Awake,Processed,24,24,100.0,5.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,0.10190518387239694
sample_1.csv,2.0,60,Awake,Raw,14,14,100.0,5.0,0.75,5.0,5.0,5.0,5.0,5.75,6.0,4.0,7.0,0.0513118234169569
sample_1.csv,2.0,60,Drowsy,Processed,7,7,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0681198910081743
sample_1.csv,2.0,60,Drowsy,Raw,3,3,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0
sample_1.csv,2.0,120,Awake,Processed,11,11,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.1347708894878706
sample_1.csv,2.0,120,Awake,Raw,8,8,100.0,6.0,1.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,0.0084745762711864
sample_1.csv,2.0,120,Drowsy,Processed,1,1,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0675675675675675
sample_1.csv,2.0,180,Awake,Processed,6,6,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.26309150213545623
sample_1.csv,2.0,180,Awake,Raw,5,5,100.0,6.0,1.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,0.0
sample_1.csv,2.0,180,Drowsy,Processed,1,1,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0670840787119856
sample_1.csv,3.0,60,Awake,Processed,24,24,100.0,4.0,0.25,4.0,4.0,4.0,4.0,4.25,5.0,4.0,5.0,0.10190518387239694
sample_1.csv,3.0,60,Awake,Raw,14,14,100.0,5.0,0.75,5.0,4.0,4.25,5.0,5.0,5.700000000000001,4.0,6.0,0.0513118234169569
sample_1.csv,3.0,60,Drowsy,Processed,7,7,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0681198910081743
sample_1.csv,3.0,60,Drowsy,Raw,3,3,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0
sample_1.csv,3.0,120,Awake,Processed,11,11,100.0,5.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,0.1347708894878706
sample_1.csv,3.0,120,Awake,Raw,8,8,100.0,5.0,0.0,5.0,4.7,5.0,5.0,5.0,5.3,4.0,6.0,0.0084745762711864
sample_1.csv,3.0,120,Drowsy,Processed,1,1,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0675675675675675
sample_1.csv,3.0,180,Awake,Processed,6,6,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.26309150213545623
sample_1.csv,3.0,180,Awake,Raw,5,5,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.6,5.0,6.0,0.0
sample_1.csv,3.0,180,Drowsy,Processed,1,1,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0670840787119856
sample_1.csv,4.0,60,Awake,Processed,24,24,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.10190518387239694
