threshold_pct,window_size_s,representation,label,n_windows,n_m_found,m_found_rate_pct,median_m,iqr_m,mode_m,q10_m,q25_m,q50_m,q75_m,q90_m,min_m,max_m,median_min_fnn_pct
1.0,60,Processed,Awake,596,419,70.30201342281879,6.0,2.0,5.0,5.0,5.0,6.0,7.0,7.0,4.0,10.0,0.6811989100817438
1.0,60,Processed,Drowsy,305,205,67.21311475409836,6.0,2.0,5.0,5.0,5.0,6.0,7.0,8.0,4.0,10.0,0.7452574525745257
1.0,60,Raw,Awake,550,117,21.272727272727273,6.0,2.0,6.0,5.0,5.0,6.0,7.0,9.0,4.0,10.0,1.9931271477663228
1.0,60,Raw,Drowsy,267,70,26.217228464419474,6.0,2.0,5.0,4.0,5.0,6.0,7.0,9.0,4.0,10.0,1.7687074829931977
1.0,120,Processed,Awake,269,190,70.63197026022306,6.0,2.0,6.0,5.0,5.0,6.0,7.0,8.0,4.0,9.0,0.7404914170313026
1.0,120,Processed,Drowsy,136,96,70.58823529411765,6.0,1.0,6.0,5.0,6.0,6.0,7.0,8.0,5.0,10.0,0.8091709680587535
1.0,120,Raw,Awake,245,56,22.857142857142858,6.0,2.0,6.0,5.0,5.0,6.0,7.0,8.0,4.0,10.0,1.9561551433389543
1.0,120,Raw,Drowsy,118,31,26.27118644067797,6.0,1.5,6.0,5.0,5.5,6.0,7.0,8.0,5.0,10.0,1.692620176032498
1.0,180,Processed,Awake,161,112,69.56521739130434,6.0,1.0,6.0,5.0,6.0,6.0,7.0,8.0,5.0,9.0,0.7394129509298678
1.0,180,Processed,Drowsy,77,53,68.83116883116884,6.0,1.0,6.0,6.0,6.0,6.0,7.0,8.0,5.0,9.0,0.7847533632286996
1.0,180,Raw,Awake,147,38,25.850340136054424,6.0,1.0,6.0,5.0,6.0,6.0,7.0,7.300000000000004,5.0,9.0,1.749271137026239
1.0,180,Raw,Drowsy,71,17,23.943661971830984,6.0,2.0,5.0,5.0,5.0,6.0,7.0,8.0,5.0,8.0,1.7225950782997763
2.0,60,Processed,Awake,596,584,97.98657718120806,5.0,1.0,5.0,4.0,4.0,5.0,5.0,6.0,4.0,9.0,0.6811989100817438
2.0,60,Processed,Drowsy,305,293,96.06557377049181,5.0,1.0,4.0,4.0,4.0,5.0,5.0,6.0,4.0,9.0,0.7452574525745257
2.0,60,Raw,Awake,550,278,50.54545454545455,5.0,1.0,5.0,4.0,5.0,5.0,6.0,8.0,3.0,10.0,1.9931271477663228
2.0,60,Raw,Drowsy,267,159,59.55056179775281,5.0,2.5,4.0,4.0,4.0,5.0,6.5,8.0,4.0,10.0,1.7687074829931977
2.0,120,Processed,Awake,269,266,98.88475836431226,5.0,0.0,5.0,4.0,5.0,5.0,5.0,6.0,4.0,7.0,0.7404914170313026
2.0,120,Processed,Drowsy,136,134,98.52941176470588,5.0,0.0,5.0,4.0,5.0,5.0,5.0,6.0,4.0,8.0,0.8091709680587535
2.0,120,Raw,Awake,245,127,51.83673469387755,6.0,1.0,6.0,4.0,5.0,6.0,6.0,8.0,4.0,10.0,1.9561551433389543
2.0,120,Raw,Drowsy,118,66,55.932203389830505,5.0,1.0,5.0,4.0,5.0,5.0,6.0,7.0,4.0,9.0,1.692620176032498
2.0,180,Processed,Awake,161,161,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,8.0,0.7394129509298678
2.0,180,Processed,Drowsy,77,77,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,8.0,0.7847533632286996
2.0,180,Raw,Awake,147,83,56.4625850340136,6.0,1.0,5.0,5.0,5.0,6.0,6.0,8.0,4.0,10.0,1.749271137026239
2.0,180,Raw,Drowsy,71,46,64.7887323943662,6.0,1.0,6.0,4.0,5.0,6.0,6.0,8.0,4.0,9.0,1.7225950782997763
3.0,60,Processed,Awake,596,596,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,6.0,0.6811989100817438
3.0,60,Processed,Drowsy,305,305,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,6.0,0.7452574525745257
3.0,60,Raw,Awake,550,445,80.9090909090909,5.0,2.0,5.0,4.0,4.0,5.0,6.0,8.0,3.0,10.0,1.9931271477663228
3.0,60,Raw,Drowsy,267,236,88.38951310861424,5.0,2.0,4.0,4.0,4.0,5.0,6.0,7.0,3.0,10.0,1.7687074829931977
3.0,120,Processed,Awake,269,269,100.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,0.7404914170313026
3.0,120,Processed,Drowsy,136,136,100.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,0.8091709680587535
3.0,120,Raw,Awake,245,210,85.71428571428571,5.0,1.0,5.0,4.0,5.0,5.0,6.0,8.0,4.0,10.0,1.9561551433389543
3.0,120,Raw,Drowsy,118,110,93.22033898305084,5.0,2.0,5.0,4.0,4.0,5.0,6.0,8.0,4.0,10.0,1.692620176032498
3.0,180,Processed,Awake,161,161,100.0,5.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,6.0,0.7394129509298678
