threshold_pct,representation,window_size_s,n_windows,n_m_found,m_found_rate_pct,median_m,iqr_m,mode_m,q10_m,q25_m,q50_m,q75_m,q90_m,min_m,max_m,median_min_fnn_pct
1.0,Processed,60,901,624,69.25638179800222,6.0,2.0,5.0,5.0,5.0,6.0,7.0,8.0,4.0,10.0,0.6830601092896175
1.0,Processed,120,405,286,70.61728395061728,6.0,1.0,6.0,5.0,6.0,6.0,7.0,8.0,4.0,10.0,0.7738896366083445
1.0,Processed,180,238,165,69.32773109243698,6.0,1.0,6.0,5.0,6.0,6.0,7.0,8.0,5.0,9.0,0.782122905027933
1.0,Raw,60,817,187,22.88861689106487,6.0,2.0,6.0,4.0,5.0,6.0,7.0,9.0,4.0,10.0,1.9178082191780823
1.0,Raw,120,363,87,23.96694214876033,6.0,2.0,6.0,5.0,5.0,6.0,7.0,8.0,4.0,10.0,1.891891891891892
1.0,Raw,180,218,55,25.229357798165136,6.0,2.0,6.0,5.0,5.0,6.0,7.0,8.0,5.0,9.0,1.7258832117301712
2.0,Processed,60,901,877,97.33629300776914,5.0,1.0,5.0,4.0,4.0,5.0,5.0,6.0,4.0,9.0,0.6830601092896175
2.0,Processed,120,405,400,98.76543209876543,5.0,0.0,5.0,4.0,5.0,5.0,5.0,6.0,4.0,8.0,0.7738896366083445
2.0,Processed,180,238,238,100.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,8.0,0.782122905027933
2.0,Raw,60,817,437,53.48837209302325,5.0,1.0,5.0,4.0,5.0,5.0,6.0,8.0,3.0,10.0,1.9178082191780823
2.0,Raw,120,363,193,53.168044077134994,6.0,1.0,6.0,4.0,5.0,6.0,6.0,8.0,4.0,10.0,1.891891891891892
2.0,Raw,180,218,129,59.174311926605505,6.0,1.0,5.0,5.0,5.0,6.0,6.0,8.0,4.0,10.0,1.7258832117301712
3.0,Processed,60,901,901,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,6.0,0.6830601092896175
3.0,Processed,120,405,405,100.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,0.7738896366083445
3.0,Processed,180,238,238,100.0,5.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,6.0,0.782122905027933
3.0,Raw,60,817,681,83.35373317013463,5.0,2.0,4.0,4.0,4.0,5.0,6.0,8.0,3.0,10.0,1.9178082191780823
3.0,Raw,120,363,320,88.1542699724518,5.0,1.0,5.0,4.0,5.0,5.0,6.0,8.0,4.0,10.0,1.891891891891892
3.0,Raw,180,218,192,88.07339449541286,5.0,1.0,5.0,4.0,5.0,5.0,6.0,7.0,4.0,10.0,1.7258832117301712
4.0,Processed,60,901,901,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,0.6830601092896175
4.0,Processed,120,405,405,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.7738896366083445
4.0,Processed,180,238,238,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,0.782122905027933
4.0,Raw,60,817,795,97.30722154222767,4.0,1.0,4.0,4.0,4.0,4.0,5.0,6.0,3.0,10.0,1.9178082191780823
4.0,Raw,120,363,361,99.44903581267218,5.0,1.0,4.0,4.0,4.0,5.0,5.0,6.0,3.0,10.0,1.891891891891892
4.0,Raw,180,218,216,99.08256880733946,5.0,1.0,5.0,4.0,4.0,5.0,5.0,6.0,4.0,10.0,1.7258832117301712
5.0,Processed,60,901,901,100.0,4.0,0.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,0.6830601092896175
5.0,Processed,120,405,405,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.7738896366083445
5.0,Processed,180,238,238,100.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.782122905027933
5.0,Raw,60,817,816,99.87760097919217,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,10.0,1.9178082191780823
5.0,Raw,120,363,363,100.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,10.0,1.891891891891892
5.0,Raw,180,218,218,100.0,4.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,7.0,1.7258832117301712
