session,window_id,state,window_size_s,representation,sampling_rate_hz,n_samples,m,tau_s,tau_samples,theiler_s,theiler_samples,fit_start_s,fit_end_s,fit_duration_s,max_follow_s,lle_1_per_s,fit_r2,n_embedded,n_pairs_initial,n_pairs_fit_min,analysis_included,signal_finite,valid,qc_reason
5,2,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.5476865073526967,14,0.8,1.3,0.5,5.0,0.7003659490137759,0.978423853440304,1472,1472,1419,True,True,True,ok
5,3,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.5327884803421785,13,0.8,1.3,0.5,5.0,0.6927116192020786,0.903251501570499,1472,1472,1417,True,True,True,ok
5,4,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.5013117222208617,13,0.8,1.3,0.5,5.0,0.7809935044928492,0.9866050483911788,1472,1472,1418,True,True,True,ok
5,5,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.47936072178418426,12,0.8,1.3,0.5,5.0,0.809792073082385,0.989038603962157,1472,1472,1404,True,True,True,ok
5,6,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.4956859791982041,12,0.8,1.3,0.5,5.0,0.7302719706760146,0.9753452686516214,1472,1472,1415,True,True,True,ok
5,7,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.5527321847654943,14,0.8,1.3,0.5,5.0,0.7343543510761443,0.9697716126349613,1472,1472,1433,True,True,True,ok
5,8,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.5353833896721303,13,0.8,1.3,0.5,5.0,0.786855931255348,0.9863210495404174,1472,1472,1410,True,True,True,ok
5,9,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.5297401511016432,13,0.8,1.3,0.5,5.0,0.8130711282416521,0.9573014403818941,1472,1472,1414,True,True,True,ok
5,10,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.5198509404895524,13,0.8,1.3,0.5,5.0,0.8262337648720133,0.9529519271369643,1472,1472,1381,True,True,True,ok
5,11,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.45849314878443,11,0.8,1.3,0.5,5.0,0.6882142096766141,0.9818434555892338,1472,1472,1405,True,True,True,ok
5,12,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.46463501657405115,12,0.8,1.3,0.5,5.0,0.7402914129813681,0.9849126560843787,1472,1472,1428,True,True,True,ok
5,13,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.5032422267878955,13,0.8,1.3,0.5,5.0,0.7573855329708173,0.9915691594696975,1472,1472,1403,True,True,True,ok
5,14,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.5302008679521525,13,0.8,1.3,0.5,5.0,0.6820216171141595,0.9906410487296258,1472,1472,1395,True,True,True,ok
5,16,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.49108289894566737,12,0.8,1.3,0.5,5.0,0.9010124363918085,0.9915547574388659,1472,1472,1391,True,True,True,ok
5,17,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.4840990931124957,12,0.8,1.3,0.5,5.0,0.8368787335232014,0.9867804550446155,1472,1472,1410,True,True,True,ok
5,18,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.45916282053732227,11,0.8,1.3,0.5,5.0,0.730638520615028,0.9939374839362632,1472,1472,1409,True,True,True,ok
5,19,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.5228259862637907,13,0.8,1.3,0.5,5.0,0.7680204034431836,0.9790947008463634,1472,1472,1397,True,True,True,ok
5,20,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.495242552069398,12,0.8,1.3,0.5,5.0,0.8167451467128732,0.9715460357750121,1472,1472,1421,True,True,True,ok
5,21,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.47194374226841124,12,0.8,1.3,0.5,5.0,0.7933717507556469,0.9854148790389953,1472,1472,1397,True,True,True,ok
5,22,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.48064437814704813,12,0.8,1.3,0.5,5.0,0.8418055280926718,0.987302981484818,1472,1472,1409,True,True,True,ok
5,23,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.5157771803639322,13,0.8,1.3,0.5,5.0,0.7515650300742498,0.9440460821625821,1472,1472,1382,True,True,True,ok
5,24,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.49183831676899126,12,0.8,1.3,0.5,5.0,0.7944121260359143,0.9833292572482445,1472,1472,1433,True,True,True,ok
5,25,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.5533914756194653,14,0.8,1.3,0.5,5.0,0.9189565685515921,0.9964575425305844,1472,1472,1420,True,True,True,ok
5,26,Drowsy,60,processed,25.002500250041432,1500,8,0.16,4,0.44123720668337807,11,0.8,1.3,0.5,5.0,0.7576837424205665,0.9927920803603413,1472,1472,1428,True,True,True,ok
5,27,Drowsy,60,processed,25.002500250041432,1500,8,0.16,4,0.4460773278755485,11,0.8,1.3,0.5,5.0,0.8064381744929007,0.9732528858030778,1472,1472,1413,True,True,True,ok
5,28,Drowsy,60,processed,25.002500250041432,1500,8,0.16,4,0.4640364221831537,12,0.8,1.3,0.5,5.0,0.6523974409354448,0.9424645767803344,1472,1472,1391,True,True,True,ok
5,29,Drowsy,60,processed,25.002500250041432,1500,8,0.16,4,0.4465921071702163,11,0.8,1.3,0.5,5.0,0.7371647087561622,0.9722025018810367,1472,1472,1386,True,True,True,ok
5,30,Drowsy,60,processed,25.002500250041432,1500,8,0.16,4,0.4276133966204794,11,0.8,1.3,0.5,5.0,0.6387387778303402,0.9006727223531255,1472,1472,1437,True,True,True,ok
5,31,Drowsy,60,processed,25.002500250041432,1500,8,0.16,4,0.46577976857419556,12,0.8,1.3,0.5,5.0,0.7553679713612503,0.9865324155382791,1472,1472,1406,True,True,True,ok
5,32,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.45560836124275916,11,0.8,1.3,0.5,5.0,0.7296009936305135,0.9341158793294044,1472,1472,1404,True,True,True,ok
5,33,Awake,60,processed,25.002500250041432,1500,8,0.16,4,0.4680495225223679,12,0.8,1.3,0.5,5.0,0.7692887486998038,0.9780778954235149,1472,1472,1407,True,True,True,ok
