session,window_id,state,window_size_s,representation,surrogate_id,surrogate_seed,rho_star,sampling_rate_hz,m,tau_s,tau_samples,theiler_s,theiler_samples,fit_start_s,fit_end_s,max_follow_s,surrogate_lle,surrogate_fit_r2,n_embedded,n_pairs_initial,n_pairs_fit_min,valid,qc_reason
8,1,Awake,60,processed,1,11520209524941387874,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5882655959638518,0.8043517346895053,1472,1472,1404,True,ok
8,1,Awake,60,processed,2,1398746624496161648,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5130900043602867,0.7988983432351178,1472,1472,1408,True,ok
8,1,Awake,60,processed,3,13986427168764617771,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5818589971507101,0.9097380342697315,1472,1472,1413,True,ok
8,1,Awake,60,processed,4,2546847761505400630,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5656517478951795,0.908732031162939,1472,1472,1384,True,ok
8,1,Awake,60,processed,5,4535319754167478065,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5649219120855798,0.8847591204775885,1472,1472,1399,True,ok
8,1,Awake,60,processed,6,12994241294225149412,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5754195637006894,0.8849256805930292,1472,1472,1418,True,ok
8,1,Awake,60,processed,7,12476168439201835432,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5451629725629178,0.8989168098605499,1472,1472,1402,True,ok
8,1,Awake,60,processed,8,17067655838414697654,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5481981313197402,0.8941253626324244,1472,1472,1396,True,ok
8,1,Awake,60,processed,9,4016683409078100132,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5646439925804405,0.9264756696506405,1472,1472,1401,True,ok
8,1,Awake,60,processed,10,9517909149507945375,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5472622062996269,0.8587636318074938,1472,1472,1405,True,ok
8,1,Awake,60,processed,11,3662828091295450195,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5356906824840425,0.7665713709743118,1472,1472,1412,True,ok
8,1,Awake,60,processed,12,2319670420347624366,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5472650503350204,0.8596291986914547,1472,1472,1416,True,ok
8,1,Awake,60,processed,13,12214814066331382375,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5972383943608289,0.8868605618961519,1472,1472,1405,True,ok
8,1,Awake,60,processed,14,1549929108032113617,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5644668544439088,0.8917029441332311,1472,1472,1381,True,ok
8,1,Awake,60,processed,15,16397764371835775885,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5804650259566103,0.8641706537549526,1472,1472,1408,True,ok
8,1,Awake,60,processed,16,11177620465355087226,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5374823075383512,0.741941143316747,1472,1472,1394,True,ok
8,1,Awake,60,processed,17,4504780482130851908,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.59535694341177,0.9051284043210289,1472,1472,1383,True,ok
8,1,Awake,60,processed,18,7721291421872720919,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5700774304430151,0.9144452418617806,1472,1472,1409,True,ok
8,1,Awake,60,processed,19,9702367651717621326,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5692509219742568,0.924252453525932,1472,1472,1412,True,ok
8,1,Awake,60,processed,20,8450104242379376152,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5640040233343456,0.8737620021197813,1472,1472,1408,True,ok
8,1,Awake,60,processed,21,8337364462043004880,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5537138019893523,0.8477876271585171,1472,1472,1400,True,ok
8,1,Awake,60,processed,22,12973073932276503166,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5894502671583596,0.8803044031172192,1472,1472,1410,True,ok
8,1,Awake,60,processed,23,17692964767414592415,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.6095552310297367,0.8646290675181373,1472,1472,1421,True,ok
8,1,Awake,60,processed,24,15781766729821262177,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.565584577379042,0.927379035969929,1472,1472,1418,True,ok
8,1,Awake,60,processed,25,476371754214596034,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5277521909683366,0.7794728718736884,1472,1472,1395,True,ok
8,1,Awake,60,processed,26,2231055755845136268,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5531699171735089,0.9370858916256283,1472,1472,1415,True,ok
8,1,Awake,60,processed,27,555765453577284963,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5651525269057458,0.9161172779772505,1472,1472,1418,True,ok
8,1,Awake,60,processed,28,7582701623322239982,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5260204604021279,0.8635044446199596,1472,1472,1392,True,ok
8,1,Awake,60,processed,29,13213951321185251691,138.30057843624795,24.993751562005933,8,0.16,4,0.5012133854059048,13,0.8,1.3,5.0,0.5548667338513639,0.9275462848838077,1472,1472,1409,True,ok
