rule,session,input_windows,simplex_success,rqa_success,lle_success,LLE_pass_R2_090,LLE_pass_R2_095,simplex_errors,simplex_error_sessions,rqa_errors,rqa_error_sessions,lle_errors,lle_error_sessions,windows_missing_any_metric,identical_signal_reused
S5,01,19,19,19,19,19,18,0,,0,,0,,0,0
S5,04,40,40,40,40,40,36,0,,0,,0,,0,0
S5,05,50,50,50,50,49,42,0,,0,,0,,0,0
S5,06,47,47,47,47,46,43,0,,0,,0,,0,0
S5,07,43,43,43,43,42,32,0,,0,,0,,0,0
S5,08,41,41,41,41,41,38,0,,0,,0,,0,0
S5,09,63,63,63,63,56,40,0,,0,,0,,0,0
S5,10,32,32,32,32,32,29,0,,0,,0,,0,0
S5,11,39,39,39,39,38,33,0,,0,,0,,0,0
S5,12,52,52,52,52,51,26,0,,0,,0,,0,0
S5,13,49,49,49,49,49,47,0,,0,,0,,0,0
S5,14,43,43,43,43,35,29,0,,0,,0,,0,0
S5,15,27,27,27,27,27,25,0,,0,,0,,0,0
S5,17,38,38,38,38,38,35,0,,0,,0,,0,0
S5,18,42,42,42,42,40,27,0,,0,,0,,0,0
S5,19,45,45,45,45,45,41,0,,0,,0,,0,0
S5,21,34,34,34,34,31,21,0,,0,,0,,0,0
S5,22,39,39,39,39,38,38,0,,0,,0,,0,0
S5,23,66,66,66,66,66,63,0,,0,,0,,0,0
S5,25,37,37,37,37,36,26,0,,0,,0,,0,0
