rule,session,input_windows,simplex_success,rqa_success,lle_success,LLE_pass_R2_090,LLE_pass_R2_095,simplex_errors,simplex_error_sessions,rqa_errors,rqa_error_sessions,lle_errors,lle_error_sessions,windows_missing_any_metric,identical_signal_reused
T30,01,27,27,27,27,27,26,0,,0,,0,,0,0
T30,04,42,42,42,42,42,36,0,,0,,0,,0,0
T30,05,49,49,49,49,48,40,0,,0,,0,,0,0
T30,06,47,47,47,47,47,41,0,,0,,0,,0,0
T30,07,40,40,40,40,39,26,0,,0,,0,,0,0
T30,08,44,44,44,44,44,41,0,,0,,0,,0,0
T30,09,63,63,63,63,55,40,0,,0,,0,,0,0
T30,10,35,35,35,35,35,32,0,,0,,0,,0,0
T30,11,37,37,37,37,36,34,0,,0,,0,,0,0
T30,12,48,48,48,48,46,25,0,,0,,0,,0,0
T30,13,45,45,45,45,45,42,0,,0,,0,,0,0
T30,14,45,45,45,45,39,27,0,,0,,0,,0,0
T30,15,34,34,34,34,34,32,0,,0,,0,,0,0
T30,17,39,39,39,39,39,37,0,,0,,0,,0,0
T30,18,41,41,41,41,36,21,0,,0,,0,,0,0
T30,19,43,43,43,43,43,38,0,,0,,0,,0,0
T30,21,38,38,38,38,35,23,0,,0,,0,,0,0
T30,22,42,42,42,42,42,42,0,,0,,0,,0,0
T30,23,60,60,60,60,60,57,0,,0,,0,,0,0
T30,25,41,41,41,41,40,32,0,,0,,0,,0,0
