window_size,metric,n_paired_sessions,mean_difference,sd_difference,median_difference,ci_low,ci_high,effect_size_dz,fraction_difference_positive,raw_p,fdr_q,fdr_significant
60,DET,20,0.023144742630943894,0.02690077716812489,0.019479971220814046,0.011569748697599375,0.034668936751585076,0.8603744972233898,0.8,0.0010585784912109375,0.00391387939453125,True
60,Lmean,20,0.2374989966308823,0.37311265861884196,0.1803146724189627,0.10813387430424687,0.4210707573192425,0.6365342776362419,0.85,0.000217437744140625,0.0022296905517578125,True
60,ENTR,20,0.05939186544397866,0.08869045782790713,0.0562066321669894,0.022541596354114353,0.09847950613010811,0.6696533866046924,0.65,0.00634002685546875,0.012198081383338341,True
60,Lmax,20,7.1486838331060225,5.888792349124076,6.581018518518526,4.684831275061246,9.712139931299376,1.2139473442580035,0.9,2.47955322265625e-05,0.0005207061767578125,True
60,LAM,20,0.01648561567055925,0.036972225276199665,0.0150262181178517,0.0005155110741474612,0.032342833445524494,0.44589189715804384,0.75,0.06036186218261719,0.06671574241236637,False
60,TT,20,0.1514812684511639,0.27538196153685535,0.0629464315546105,0.05834618999330804,0.28589203427773546,0.5500769462377826,0.9,0.0003185272216796875,0.0022296905517578125,True
60,Vmax,20,3.0644142353904664,7.866100535723905,0.4058270676691733,0.43130603545325413,6.935787163731978,0.3895722183403868,0.85,0.007152557373046875,0.012198081383338341,True
120,DET,20,0.028786647312984616,0.03437978376488309,0.025075249419132698,0.014166871585453747,0.043713198262355396,0.8373132160996448,0.85,0.001270294189453125,0.00391387939453125,True
120,Lmean,20,0.29525976843508156,0.4996390487492001,0.20854789372893395,0.11794052373953438,0.5327129985179904,0.5909461423686497,0.85,0.0008697509765625,0.00391387939453125,True
120,ENTR,20,0.07566254625538486,0.11732072287727222,0.07046164248868865,0.027293470971248894,0.12795975089282463,0.6449205596400436,0.75,0.0071315765380859375,0.012198081383338341,True
120,Lmax,20,16.26065084854946,24.134624110514473,12.071428571428577,6.7251375441616394,27.064531009131034,0.6737478393734484,0.85,0.0028018951416015625,0.0065377553304036455,True
120,LAM,20,0.013405657742160525,0.04533363800192917,0.006145877315388451,-0.005312114373446856,0.033324865558238215,0.2957110510652167,0.55,0.20222091674804688,0.21233196258544923,False
120,TT,20,0.21622204447941534,0.4610138804279601,0.11076057122258805,0.06786555155457581,0.44173020195267876,0.46901417432094666,0.8,0.00130462646484375,0.00391387939453125,True
120,Vmax,20,14.830121657238527,49.77603396627232,0.6736471861471856,0.8793546850358966,38.96972478144275,0.29793698845687966,0.8,0.031528472900390625,0.040940228630514705,True
180,DET,20,0.028388731905332254,0.0353452014487087,0.029550088155571946,0.012397848546195541,0.043001568663422446,0.8031848947452924,0.8,0.002559661865234375,0.0065377553304036455,True
180,Lmean,20,0.29751789039823784,0.6695845717100283,0.12889548564372874,0.07457782146084026,0.6264585666985897,0.44433205747022736,0.8,0.0075511932373046875,0.012198081383338341,True
180,ENTR,20,0.06678215900279391,0.13128061406042818,0.03481788743316705,0.013807123154380468,0.12649097857771532,0.5086977957922578,0.7,0.028987884521484375,0.040583038330078126,True
180,Lmax,20,16.878534312909313,37.91582561176856,11.550000000000013,1.5095519636613366,33.94001210421522,0.44515803205061805,0.65,0.056758880615234375,0.06621869405110677,False
180,LAM,20,0.0008955230925708797,0.05202306605748208,-0.00017320292786929693,-0.021312752101464955,0.023246856616836547,0.017213962198640607,0.5,0.93865966796875,0.93865966796875,False
180,TT,20,0.19136957887105152,0.4018849903239305,0.058172366813937296,0.05109174611918924,0.3866814621113497,0.4761799606320264,0.75,0.009725570678710938,0.014588356018066406,True
180,Vmax,20,8.614809496059497,20.27260507590327,0.7440476190476191,1.4299690552503057,18.50452060786435,0.42494832133337224,0.7,0.03314208984375,0.040940228630514705,True
