representation,window_size,metric,n_paired_sessions,mean_delta,std_delta,median_delta,q25_delta,q75_delta,n_delta_positive,fraction_delta_positive,min_delta,max_delta
Processed,60,DET,20,-0.01759646735250141,0.025648135992053435,-0.01763322036274001,-0.03916009449003641,-0.006309565044502502,4,0.2,-0.0638788906485791,0.03556548515546365
Processed,60,ENTR,20,-0.028736197521753094,0.06245310041535876,-0.0208276650064827,-0.04482983735071222,0.007644435885233558,7,0.35,-0.18321951331722675,0.07260937319604577
Processed,60,LAM,20,0.02553822223368617,0.055097584762425364,0.011393115267121001,-0.013087847245321277,0.07179350720889797,12,0.6,-0.06916580247093901,0.12190109569178825
Processed,60,Lmax,20,2.4564229993134084,9.109596655198144,2.874172464684797,-0.41546290930165597,6.15171568627451,15,0.75,-13.506666666666675,25.60714285714286
Processed,60,Lmean,20,-0.045135159962934115,0.12976503496201003,-0.04667017721512812,-0.10568521845142742,0.0015760796561449242,5,0.25,-0.2790451146299491,0.289376213880451
Processed,60,TT,20,0.009418249810526014,0.02749075811135129,0.006216305332429117,-0.004087139407542351,0.019811413026361135,13,0.65,-0.04970274340920122,0.06517786361572231
Processed,60,Vmax,20,0.14704327542178425,0.4770550643437466,0.05166666666666675,-0.20297101449275334,0.41055590695059374,11,0.55,-0.535714285714286,1.3869047619047619
Processed,120,DET,20,-0.024154686705608292,0.03450742057402555,-0.02122669426740209,-0.04073355424785732,-0.003722764014110619,5,0.25,-0.08717068924012428,0.03610727732606489
Processed,120,ENTR,20,-0.04051303859437616,0.08038745257932443,-0.02906839853933607,-0.05022895673279143,0.005953230526820008,6,0.3,-0.22371419325822517,0.10995503530431616
Processed,120,LAM,20,0.029613932597764937,0.0602479957538899,0.009143851650815021,-0.012591680534223493,0.08913707070093407,13,0.65,-0.07233693787040818,0.12047957880319779
Processed,120,Lmax,20,7.099890970742363,15.398304778450957,2.205357142857139,-3.47861842105263,19.72683566433566,12,0.6,-12.916666666666671,33.16666666666667
Processed,120,Lmean,20,-0.06150818548405039,0.1631465678484703,-0.05633964679187953,-0.1790262885914644,0.0085171144383267,7,0.35,-0.31298424891605237,0.38222885693681263
Processed,120,TT,20,0.014709181219019629,0.030608156838000847,0.0145210020689015,-0.004111824048834922,0.036654262371232815,12,0.6,-0.0619463527728481,0.07104029758349073
Processed,120,Vmax,20,0.7636664296745566,2.089169032799378,0.23809523809523814,-0.12232620320855625,0.511764705882353,12,0.6,-0.871428571428571,8.494736842105262
Processed,180,DET,20,-0.024400103341359634,0.035505953164713486,-0.025515223889341077,-0.045464440552421576,-0.0007282666314514519,5,0.25,-0.0912406663322507,0.0364660190360252
Processed,180,ENTR,20,-0.03677951800026358,0.07801640445734477,-0.0244606258791934,-0.0450883904315762,0.002317307460930229,5,0.25,-0.23688985444891797,0.0946985124512667
Processed,180,LAM,20,0.03818259437554143,0.06509359456509495,0.025354732023325333,-0.011640807482686893,0.0939314442670003,13,0.65,-0.07041359139896974,0.15500193949998617
Processed,180,Lmax,20,9.317931096681097,22.046448348420487,9.844047619047622,-5.5,17.868750000000002,12,0.6,-21.27272727272728,68.99999999999999
Processed,180,Lmean,20,-0.05999890930455234,0.1721761354253558,-0.06329289636968438,-0.15251868336937813,0.07029823252760647,7,0.35,-0.37164292038799873,0.38298140034886075
Processed,180,TT,20,0.02221986791971029,0.041415153054924214,0.01618399689942085,-0.006425998753024853,0.04617931944469689,13,0.65,-0.030970614057860057,0.11114197434844675
Processed,180,Vmax,20,0.7950487012987012,3.6423500913063633,0.2889610389610391,-0.4285714285714288,0.8690476190476191,12,0.6,-6.416666666666666,13.924242424242422
Raw,60,DET,20,0.005548275278442522,0.02168414334194673,0.007908246067209135,-0.007371822581083626,0.02000190017469497,13,0.65,-0.04582391801839403,0.040022086736410056
Raw,60,ENTR,20,0.030655667922225592,0.07026153330287187,0.011927256125840557,-0.009263639442577742,0.0592825351363544,14,0.7,-0.07001100176447994,0.2426338674869073
Raw,60,LAM,20,0.04202383790424544,0.05320116612800693,0.01690734650557285,0.006814593565920624,0.08369168639639663,17,0.85,-0.04722424761438704,0.1495869909678399
Raw,60,Lmax,20,9.60510683241943,12.080822588887418,4.639582828037838,0.9053361344537798,15.43405080213903,17,0.85,-4.740740740740733,40.04166666666666
Raw,60,Lmean,20,0.19236383666794826,0.42652906538274504,0.08183039144699622,0.014761212366724008,0.20199687783498477,15,0.75,-0.08379138423776711,1.920452145369734
Raw,60,TT,20,0.1608995182616899,0.2835916567300385,0.06796694766164069,0.02052720539923303,0.17563648692949374,16,0.8,-0.11901602587739069,1.229786437299338
Raw,60,Vmax,20,3.211457510812251,8.084525317074894,0.552436974789916,0.14670385395537533,1.6812286732874966,17,0.85,-1.2373271889400916,33.425
Raw,120,DET,20,0.004631960607376351,0.025023724440671562,0.006427889205227577,-0.0133656280196508,0.023357993461498888,11,0.55,-0.041147751106968,0.043222915543603024
Raw,120,ENTR,20,0.03514950766100874,0.09381478307313508,0.013315989224763403,-0.010843577195219445,0.0638478831919565,13,0.65,-0.10620419330290987,0.3018261172506058
Raw,120,LAM,20,0.04301959033992546,0.05635113831509722,0.030497622015405346,-0.0009698450504071754,0.07617206797023127,14,0.7,-0.03660709227448977,0.18831702011963025
Raw,120,Lmax,20,23.36054181929182,30.99736284451829,20.06845238095238,1.6577380952380985,33.13568376068377,15,0.75,-15.5625,117.5151515151515
Raw,120,Lmean,20,0.2337515829510311,0.5728135341111875,0.1039127027579958,-0.00998098818049753,0.25223505808793856,14,0.7,-0.19545467856440446,2.4933979283975276
Raw,120,TT,20,0.23093122569843505,0.46023749261194297,0.11418882714792256,0.033226100622972266,0.2019802241046269,16,0.8,-0.14663270896179315,2.03476730045708
Raw,120,Vmax,20,15.593788086913088,50.58175461936621,0.6339285714285716,0.059253246753246724,6.012121212121211,15,0.75,-3.9523809523809534,225.3939393939394
Raw,180,DET,20,0.00398862856397264,0.024936894560263462,0.0026519295892579176,-0.015086697290943085,0.02339703828200243,11,0.55,-0.036636608212256117,0.049811692899260684
Raw,180,ENTR,20,0.03000264100253036,0.11247093951539366,-0.0026561980614621117,-0.03299823208518432,0.06238106380939917,10,0.5,-0.12086704315701424,0.3749174942721418
Raw,180,LAM,20,0.039078117468112336,0.05928373354019503,0.025036834518373463,0.008121980059858064,0.05996459521733424,16,0.8,-0.04056034686752563,0.21286829248893635
Raw,180,Lmax,20,26.196465409590417,43.842906642321246,27.811111111111117,-5.098958333333339,45.12202380952381,13,0.65,-37.769230769230774,149.0
Raw,180,Lmean,20,0.23751898109368552,0.7534808783062249,0.04726371692644227,-0.04879525462174039,0.21912394223540843,13,0.65,-0.2917381052728265,3.2810687634407953
Raw,180,TT,20,0.2135894467907618,0.4050280528779056,0.07839601636624649,0.02119013869410602,0.20123255105046178,17,0.85,-0.16695395496567267,1.629790908714976
Raw,180,Vmax,20,9.409858197358197,20.60384069617849,0.6875,-0.20833333333333348,8.15625,13,0.65,-7.625,84.64444444444445
