representation,window_size,metric,n_paired_sessions,mean_delta,sd_delta,median_delta,ci_low,ci_high,effect_size_dz,fraction_delta_positive,raw_p,fdr_q,fdr_significant
Processed,60,DET,20,-0.017596467352501383,0.02564813599205342,-0.017633220362739947,-0.028416060057348334,-0.006422168480650736,-0.6860719764568196,0.2,0.007358551025390625,0.023773780235877402,True
Processed,60,Lmean,20,-0.04513515996293409,0.12976503496201003,-0.0466701772151281,-0.0996124703298041,0.011407075625056419,-0.3478222001492763,0.25,0.1371173858642578,0.16938030018525965,False
Processed,60,ENTR,20,-0.028736197521753076,0.06245310041535873,-0.02082766500648265,-0.056746136432217924,-0.00368863761454592,-0.4601244346659553,0.35,0.05138397216796875,0.0867145244891827,False
Processed,60,Lmax,20,2.4564229993134084,9.109596655198144,2.874172464684797,-1.4029599871145402,6.429754806922012,0.2696522241642518,0.75,0.247802734375,0.2812895903716216,False
Processed,60,LAM,20,0.025538222233686163,0.05509758476242532,0.01139311526712095,0.002506627754038839,0.048927259360838034,0.46350892409901717,0.6,0.052822113037109375,0.0867145244891827,False
Processed,60,TT,20,0.009418249810525994,0.02749075811135127,0.00621630533242905,-0.0023460610016420398,0.021248209593093266,0.3425969473950987,0.65,0.1436595916748047,0.17239151000976563,False
Processed,60,Vmax,20,0.14704327542178425,0.47705506434374667,0.0516666666666667,-0.04773246725970283,0.3568934804442568,0.3082312429154526,0.55,0.1866607666015625,0.2177708943684896,False
Processed,120,DET,20,-0.024154686705608268,0.03450742057402552,-0.02122669426740205,-0.03904305714451325,-0.009436144337622897,-0.6999852873323723,0.25,0.0055065155029296875,0.021024877374822445,True
Processed,120,Lmean,20,-0.06150818548405038,0.16314656784847023,-0.0563396467918795,-0.12837955722538827,0.010815697726878784,-0.37701182620757856,0.35,0.10839271545410156,0.1436448097229004,False
Processed,120,ENTR,20,-0.04051303859437614,0.08038745257932442,-0.02906839853933605,-0.07598193325550266,-0.008078088752657765,-0.5039721659844718,0.3,0.03497886657714844,0.07345561981201172,False
Processed,120,Lmax,20,7.099890970742363,15.398304778450955,2.205357142857139,0.7396052326801147,13.842225147594922,0.4610826368807983,0.6,0.053680419921875,0.0867145244891827,False
Processed,120,LAM,20,0.02961393259776492,0.060247995753889866,0.009143851650815,0.004230665555822084,0.055112466434570254,0.49153390460881713,0.65,0.04191780090332031,0.08261987437372623,False
Processed,120,TT,20,0.014709181219019627,0.03060815683800082,0.014521002068901449,0.001278776261108674,0.02749920624043393,0.4805640959326828,0.6,0.04524421691894531,0.08261987437372623,False
Processed,120,Vmax,20,0.7636664296745566,2.089169032799378,0.23809523809523808,0.04678485668743023,1.7895782034174457,0.36553597037157076,0.6,0.073516845703125,0.10647267308728449,False
Processed,180,DET,20,-0.024400103341359614,0.035505953164713465,-0.025515223889341,-0.03927870280161601,-0.00967904835577345,-0.6872116128854958,0.25,0.006282806396484375,0.021989822387695312,True
Processed,180,Lmean,20,-0.05999890930455233,0.17217613542535576,-0.06329289636968435,-0.1314354838890064,0.015636079331226516,-0.3484740156138765,0.35,0.1361846923828125,0.16938030018525965,False
Processed,180,ENTR,20,-0.03677951800026356,0.07801640445734477,-0.02446062587919335,-0.07220582861193214,-0.005608878245915816,-0.47143313327612585,0.25,0.04523468017578125,0.08261987437372623,False
Processed,180,Lmax,20,9.317931096681097,22.046448348420487,9.844047619047622,0.3483011363636369,19.11543258477633,0.4226499864931159,0.6,0.06991386413574219,0.10487079620361328,False
Processed,180,LAM,20,0.03818259437554141,0.0650935945650949,0.02535473202332525,0.010195647853843698,0.06621629393078163,0.5865799028406404,0.65,0.017198562622070312,0.04249056647805607,True
Processed,180,TT,20,0.022219867919710288,0.04141515305492419,0.0161839968994208,0.005264015726596439,0.04045597595688591,0.5365154123719551,0.65,0.024724960327148438,0.054655175460012334,False
Processed,180,Vmax,20,0.7950487012987012,3.6423500913063633,0.2889610389610391,-0.5829487734487735,2.512804879148628,0.2182790454976692,0.6,0.40633392333984375,0.4244194961175686,False
Raw,60,DET,20,0.005548275278442516,0.0216841433419467,0.0079082460672091,-0.0042829387600417145,0.014469581714212374,0.25586785656916883,0.65,0.2656993865966797,0.2880090566781851,False
Raw,60,Lmean,20,0.19236383666794826,0.4265290653827451,0.08183039144699619,0.06110893814001214,0.4044777418699703,0.4509981904640682,0.75,0.0012054443359375,0.00949859619140625,True
Raw,60,ENTR,20,0.03065566792222558,0.07026153330287184,0.01192725612584055,0.002864435937336412,0.06282352526572796,0.43630798363138734,0.7,0.05609703063964844,0.08726204766167535,False
Raw,60,Lmax,20,9.60510683241943,12.080822588887418,4.639582828037838,4.686718570914705,14.935397299402814,0.7950705973660036,0.85,0.00089263916015625,0.00949859619140625,True
Raw,60,LAM,20,0.0420238379042454,0.053201166128006926,0.0169073465055728,0.019850945543456344,0.06508408493284086,0.7899044506492989,0.85,0.001583099365234375,0.00949859619140625,True
Raw,60,TT,20,0.1608995182616899,0.28359165673003844,0.06796694766164066,0.06288524921566227,0.3002637598304328,0.5673633706892026,0.8,0.000751495361328125,0.00949859619140625,True
Raw,60,Vmax,20,3.211457510812251,8.084525317074894,0.552436974789916,0.5226337762669406,7.163716386785967,0.39723513562750595,0.85,0.003795623779296875,0.017712910970052082,True
Raw,120,DET,20,0.0046319606073763455,0.02502372444067152,0.006427889205227549,-0.006263000136151186,0.01510984409315289,0.1851027659115337,0.55,0.41431427001953125,0.4244194961175686,False
Raw,120,Lmean,20,0.23375158295103118,0.5728135341111877,0.10391270275799575,0.04724883680432579,0.5129743688683637,0.4080762220706505,0.7,0.01264190673828125,0.03318500518798828,True
Raw,120,ENTR,20,0.03514950766100872,0.09381478307313507,0.01331598922476335,-0.0026197588136020805,0.07705593340982063,0.3746691780293013,0.65,0.10944366455078125,0.1436448097229004,False
Raw,120,Lmax,20,23.36054181929182,30.99736284451829,20.06845238095238,11.111861556845932,37.6556943108974,0.7536299760875627,0.75,0.0009555816650390625,0.00949859619140625,True
Raw,120,LAM,20,0.043019590339925445,0.05635113831509719,0.0304976220154053,0.02035865393232318,0.06820811372050235,0.7634200767937273,0.7,0.0015087127685546875,0.00949859619140625,True
Raw,120,TT,20,0.230931225698435,0.46023749261194297,0.1141888271479225,0.07975443637901773,0.45647548655136616,0.5017653481202771,0.8,0.0008029937744140625,0.00949859619140625,True
Raw,120,Vmax,20,15.593788086913088,50.581754619366215,0.6339285714285716,1.3535472236097235,39.88312071608945,0.308288793148008,0.75,0.010896682739257812,0.030670928955078124,True
Raw,180,DET,20,0.003988628563972646,0.024936894560263427,0.0026519295892578998,-0.0064821050431038765,0.01480827115161737,0.15994888835630985,0.55,0.4805908203125,0.4805908203125,False
Raw,180,Lmean,20,0.23751898109368547,0.753480878306225,0.047263716926442205,0.002589355812254885,0.6009402862089684,0.3152289433377691,0.65,0.09021568298339844,0.12630195617675782,False
Raw,180,ENTR,20,0.030002641002530354,0.11247093951539364,-0.0026561980614621004,-0.013253037879633656,0.08162468558085585,0.2667590502204702,0.5,0.2674369812011719,0.2880090566781851,False
Raw,180,Lmax,20,26.196465409590417,43.84290664232125,27.811111111111117,8.257404213841712,45.76249569354257,0.5975074970121427,0.65,0.010953903198242188,0.030670928955078124,True
Raw,180,LAM,20,0.0390781174681123,0.059283733540195026,0.0250368345183734,0.015722517365557364,0.06667217328526757,0.6591709923535248,0.8,0.0034885406494140625,0.017712910970052082,True
Raw,180,TT,20,0.21358944679076183,0.4050280528779056,0.07839601636624641,0.065292846429487,0.4064377997158874,0.5273448228415617,0.85,0.005214691162109375,0.021024877374822445,True
Raw,180,Vmax,20,9.409858197358197,20.60384069617849,0.6875,2.0841844336219335,19.272562049062053,0.4567040842585963,0.65,0.023820877075195312,0.054655175460012334,False
