session,state,representation,window_size_s,horizon_seconds,central_cc,variability_cc,median_cc,iqr_cc,central_nrmse,variability_nrmse,median_nrmse,iqr_nrmse,mean_valid_fraction,minimum_valid_fraction,n_windows
sample_1,Awake,Raw,60,0.04,0.9622287531762299,0.014740650721057926,0.9590215146831162,0.020266809709719835,0.2635251420143482,0.05962602268909684,0.2798936007110955,0.0722074338215612,1.0,1.0,24
sample_1,Awake,Raw,60,0.08,0.9286733369004221,0.033196387685538085,0.925559129278402,0.04702644004992562,0.3556896987898544,0.09327484692559508,0.3809883279497402,0.12152875300804472,1.0,1.0,24
sample_1,Awake,Raw,60,0.12,0.918889611094618,0.03682886835806838,0.9226716866007241,0.05760622342271704,0.3787700397017671,0.09719646079086808,0.3888833329632414,0.13608085323421087,1.0,1.0,24
sample_1,Awake,Raw,60,0.16,0.914626117237029,0.03588924687419805,0.9113144349027087,0.054528917851123127,0.3896622779513956,0.09570920789079908,0.41604653197422536,0.12263604878991224,1.0,1.0,24
sample_1,Awake,Raw,60,0.2,0.8997067201274236,0.04246665172447046,0.8880697267334114,0.0578606873788301,0.42092427368150725,0.10540780777246168,0.4450613231080641,0.12631700473394247,1.0,1.0,24
sample_1,Awake,Raw,60,0.28,0.8862745754446865,0.05341031687646496,0.8839236139339817,0.08247102994866062,0.4449317976459965,0.11674805181618676,0.4741446582892646,0.16417973289675358,1.0,1.0,24
sample_1,Awake,Raw,60,0.4,0.8868008454173647,0.046315042294465966,0.8787369642335799,0.056740958997457236,0.44667852709993694,0.10758417222380912,0.45782666599351174,0.11072500128029894,1.0,1.0,24
sample_1,Awake,Raw,60,0.6,0.8783391645380529,0.04870456205177457,0.8694897460592974,0.05155575973794557,0.4615832275115224,0.11116498047882965,0.48252314075081926,0.10041270930088803,1.0,1.0,24
sample_1,Awake,Raw,60,0.8,0.8584645139630251,0.0569754207728722,0.8468619313129906,0.04997462936779984,0.4944860157601307,0.12220331062194645,0.5280785561875789,0.08134839468549471,1.0,1.0,24
sample_1,Awake,Raw,60,1.0,0.7682863805820247,0.09999558667690882,0.7663109531895069,0.11453224837204812,0.6226166192550076,0.156293609176862,0.6489284543720993,0.13488155352978648,1.0,1.0,24
sample_1,Awake,Raw,60,1.2,0.7476569484815139,0.10944786870315253,0.7456249338908597,0.10748249386817987,0.6469349025546589,0.16262576084150046,0.6696895780172347,0.1344651696232203,1.0,1.0,24
sample_1,Awake,Raw,60,1.6,0.6950616998553194,0.12778877401510663,0.6775030461737095,0.11315383386097122,0.7019824561912152,0.17845197964197307,0.7380482287228693,0.10845084083287959,1.0,1.0,24
sample_1,Awake,Raw,60,2.0,0.6255413325314415,0.16107630344351365,0.6309847065974771,0.16462225715306744,0.766802161945885,0.19081908329686495,0.7879642548062824,0.14794581302967924,1.0,1.0,24
sample_1,Awake,Raw,60,2.4,0.5649657222914294,0.18471351074687625,0.534316541768136,0.1658908918632661,0.8147567816665177,0.20497514929047214,0.848057778614606,0.1565305162965257,1.0,1.0,24
sample_1,Awake,Raw,60,2.8,0.5243921235733155,0.20323433479470365,0.5066855011347619,0.2060217745735463,0.8418239047141949,0.2106807056749073,0.8636315663741634,0.17737262288577493,1.0,1.0,24
sample_1,Awake,Raw,60,3.2,0.47382448687652423,0.2281621208913162,0.43853862319277054,0.2382106191336134,0.8764344521321283,0.2254261715970085,0.9285507518930118,0.2052232738169758,1.0,1.0,24
sample_1,Awake,Raw,60,3.6,0.45008680036134424,0.23990067401023873,0.44253270892323204,0.2830654773166044,0.8882946619362992,0.23164781958163685,0.9501344675122072,0.19915030372467213,1.0,1.0,24
sample_1,Awake,Raw,60,4.0,0.4090130764520788,0.26020319419811305,0.3964003970585074,0.33123148987826423,0.9157194788419858,0.2412451623068,0.9929634693604324,0.22174483642035203,1.0,1.0,24
sample_1,Awake,Raw,120,0.04,0.9778357242927561,0.01074368409264967,0.9789818599746155,0.01352535117258924,0.2017904164253521,0.05557393917432525,0.20525139067672746,0.06623583423128176,1.0,1.0,11
sample_1,Awake,Raw,120,0.08,0.956361931143902,0.022268700233178656,0.95600572132588,0.029556366524342348,0.279908026077956,0.08252618089643758,0.29491105762796055,0.09795473334128613,1.0,1.0,11
sample_1,Awake,Raw,120,0.12,0.950557790924245,0.02464127122549168,0.9482106787983732,0.029672613631156475,0.29806223540484444,0.08605582235862849,0.3191211112736911,0.08592773979319684,1.0,1.0,11
sample_1,Awake,Raw,120,0.16,0.9466147225604291,0.026856474397172047,0.9436561077275976,0.032361174802864934,0.3090416357150336,0.09057347469125264,0.32784100781865716,0.09707816196626529,1.0,1.0,11
sample_1,Awake,Raw,120,0.2,0.9366151579505612,0.032643220330825014,0.9386237013938903,0.04050365594876426,0.33532603886505236,0.09993620667269801,0.34720989692028853,0.11183233336512077,1.0,1.0,11
sample_1,Awake,Raw,120,0.28,0.9323755729277639,0.03280786816812059,0.9344144147992064,0.03870677130683209,0.34758685366612113,0.09709223800257172,0.35884469269210756,0.09397229696111498,1.0,1.0,11
sample_1,Awake,Raw,120,0.4,0.9295812101418582,0.03358957271906266,0.9332207778333109,0.03872382158675358,0.3544350625085916,0.0992221249928209,0.3619908744947675,0.09833668915844629,1.0,1.0,11
sample_1,Awake,Raw,120,0.6,0.9252291810544385,0.03573925339389239,0.9311103497551414,0.0429358647974073,0.36437061645006535,0.10342851825616078,0.36772160176943514,0.10396992534962862,1.0,1.0,11
sample_1,Awake,Raw,120,0.8,0.9130610817591982,0.04108556655658759,0.9180924739794045,0.0527420025434846,0.3913422655557975,0.11312840110022637,0.4028382606717553,0.11754862323364124,1.0,1.0,11
sample_1,Awake,Raw,120,1.0,0.8593819302270117,0.06475640720504491,0.868619381886709,0.07405523515308232,0.4936302369402153,0.1375104790164012,0.5029622273459492,0.1128054635785043,1.0,1.0,11
sample_1,Awake,Raw,120,1.2,0.8471824381565788,0.06942191221264102,0.8585469449441901,0.07532430997339823,0.5132021597001775,0.14191176623127444,0.5209126083869496,0.10570820592082708,1.0,1.0,11
sample_1,Awake,Raw,120,1.6,0.8117940647718392,0.08703902337733183,0.8230431703054776,0.10014810716491818,0.5633890997994643,0.1612466945917274,0.5797546523234024,0.13097554864321437,1.0,1.0,11
sample_1,Awake,Raw,120,2.0,0.7696479858305989,0.10609967933729225,0.7731811913985396,0.14101280619226753,0.6177650048664118,0.17543191049929574,0.6440072932905515,0.15813061549940133,1.0,1.0,11
sample_1,Awake,Raw,120,2.4,0.7298525185636996,0.12549861083787972,0.7305527595161313,0.18410523876183071,0.6615727770063242,0.18875919218745152,0.700045073133523,0.1870513379814368,1.0,1.0,11
sample_1,Awake,Raw,120,2.8,0.7032837209035608,0.13980863425424409,0.7003347948553496,0.21274055651392176,0.6882258613935327,0.19909157678852307,0.7263418496153359,0.19159546999331734,1.0,1.0,11
sample_1,Awake,Raw,120,3.2,0.673152198202447,0.15573760367606757,0.6636047139145087,0.20954845307101289,0.7163447027751361,0.20703217340613067,0.7491516042668267,0.19487622103443858,1.0,1.0,11
sample_1,Awake,Raw,120,3.6,0.6561887951140497,0.16395635312152035,0.6339583399595039,0.21847685616924417,0.7306851102369513,0.213711102698106,0.7515487510935694,0.19793652410728435,1.0,1.0,11
sample_1,Awake,Raw,120,4.0,0.627702792490515,0.17848923403980202,0.596218617519247,0.21081714128336737,0.7550019001429018,0.21768009679617903,0.7606833962088281,0.18712081580593876,1.0,1.0,11
sample_1,Awake,Raw,180,0.04,0.982308344592786,0.010203451476772504,0.9816359048133484,0.012605753118120067,0.17866516300180968,0.06071649400744769,0.19138957965447528,0.07006175383273522,1.0,1.0,6
sample_1,Awake,Raw,180,0.08,0.9637620879122601,0.022292119989012697,0.962345062022551,0.025678667940759015,0.2524860535735186,0.09225608889957762,0.2714436013916703,0.09845733802150086,1.0,1.0,6
sample_1,Awake,Raw,180,0.12,0.9589156637629089,0.023977354938989316,0.956452511895989,0.023665146552565353,0.2696132331967498,0.09502168095833588,0.2920678420745871,0.08435065742441453,1.0,1.0,6
sample_1,Awake,Raw,180,0.16,0.9562868100285327,0.024801749610840824,0.952658266470072,0.023625117414117658,0.27836231946394396,0.09648571974408174,0.30490605690061723,0.08145669750765752,1.0,1.0,6
sample_1,Awake,Raw,180,0.2,0.9481113919823261,0.03067142787571909,0.9463331242616101,0.033343310150538485,0.30167013253258584,0.10764277071231433,0.3239490602911599,0.10394889256532525,1.0,1.0,6
sample_1,Awake,Raw,180,0.28,0.943565639899127,0.03321901734157012,0.9417992841199263,0.03183042568775274,0.31456784378644514,0.11092214564607458,0.3358196905452371,0.09430958242548076,1.0,1.0,6
sample_1,Awake,Raw,180,0.4,0.9425369306782342,0.032292665172500706,0.9399899906273561,0.03387045805433497,0.31803124186074977,0.10977990517685869,0.3426452192089856,0.09853673227539284,1.0,1.0,6
sample_1,Awake,Raw,180,0.6,0.9394878615721645,0.03500676633555005,0.9385214834838496,0.037582840210458435,0.3251380631091431,0.1150358666690413,0.34687540917334103,0.10631574674753685,1.0,1.0,6
sample_1,Awake,Raw,180,0.8,0.9319798849339259,0.037626369536615335,0.9279322982857846,0.03769110820686239,0.34471325466671954,0.12056874843870505,0.3754516833538689,0.10087696457775208,1.0,1.0,6
sample_1,Awake,Raw,180,1.0,0.8853926044255213,0.06365808096935553,0.8848843443640028,0.053469315577169385,0.4430492387831952,0.15466367470530606,0.4696479668096635,0.1023826990147626,1.0,1.0,6
sample_1,Awake,Raw,180,1.2,0.8757647449415656,0.06881829113672301,0.8780786017182258,0.055024868562296714,0.4599191806907336,0.16067193601663562,0.4821168802684327,0.09918026581963818,1.0,1.0,6
sample_1,Awake,Raw,180,1.6,0.8493973923304071,0.08156635043483312,0.8451815091788031,0.0743817303051244,0.5029623813995447,0.1770390632505591,0.5422759445176925,0.12062203712489339,1.0,1.0,6
sample_1,Awake,Raw,180,2.0,0.8107790469050423,0.10132348687117952,0.8055877606589066,0.08982690544982086,0.5591124935041041,0.1958146877685712,0.6009360415644727,0.12132639617961849,1.0,1.0,6
sample_1,Awake,Raw,180,2.4,0.7798706654941139,0.11648002419654847,0.7779062600233558,0.118974310950406,0.5984082730468164,0.20831809286011446,0.6393221724291129,0.14682503088678178,1.0,1.0,6
sample_1,Awake,Raw,180,2.8,0.7557161131625006,0.12775515648533337,0.7477992447298865,0.12628717414678925,0.6267967572278202,0.21654004770667093,0.6773352118846823,0.1424683355111288,1.0,1.0,6
sample_1,Awake,Raw,180,3.2,0.7328941452361447,0.13777772900569915,0.7225122715798622,0.15814992290253693,0.6514320754136453,0.2227350381958405,0.7036455660700887,0.16648444768109394,1.0,1.0,6
sample_1,Awake,Raw,180,3.6,0.7126771847832032,0.14435128782280318,0.6991994882031585,0.15356625264654655,0.6726362491874062,0.22761152444489838,0.7313887303246762,0.1515719069045669,1.0,1.0,6
sample_1,Awake,Raw,180,4.0,0.6880752139848006,0.15316750265475546,0.6625220593569385,0.1830238951974409,0.6974600843827252,0.2307819275221855,0.7673293227425193,0.16787119100075698,1.0,1.0,6
sample_1,Drowsy,Raw,60,0.04,0.968435008951843,0.012676987232731175,0.9652455125949602,0.02091090739245549,0.24480593494912478,0.054862193144897174,0.2615146478221337,0.07417745522299934,1.0,1.0,10
sample_1,Drowsy,Raw,60,0.08,0.9511074013261025,0.02091728794059221,0.9468819406325956,0.03467344804037609,0.3008339593657507,0.0696789109408851,0.31953095368834555,0.11518167016049108,1.0,1.0,10
sample_1,Drowsy,Raw,60,0.12,0.9410185796012159,0.026360170958179444,0.9387303964664332,0.040777388785058544,0.3288352514974446,0.07655022637348974,0.34397706983809817,0.12792127085775284,1.0,1.0,10
sample_1,Drowsy,Raw,60,0.16,0.9315086330088743,0.029591459464327945,0.9288020709236449,0.04729495325788036,0.3538668993067036,0.07897413513607221,0.37606552020969974,0.12595938233153703,1.0,1.0,10
sample_1,Drowsy,Raw,60,0.2,0.9209425988423007,0.03410157037625855,0.9155818420013084,0.05878054914182784,0.37878426173165114,0.08439742547351749,0.40867281449451165,0.13634671862178743,1.0,1.0,10
sample_1,Drowsy,Raw,60,0.28,0.9165473460181994,0.03813797520571059,0.910843047297828,0.048002927315204835,0.3876711145280532,0.08776202266809106,0.4115891869594677,0.12799719122912012,1.0,1.0,10
sample_1,Drowsy,Raw,60,0.4,0.9076579485487326,0.038650455622995586,0.9018318814343164,0.06332857449818285,0.40860814241067656,0.0846856187625461,0.43974584264419236,0.13857266584984856,1.0,1.0,10
sample_1,Drowsy,Raw,60,0.6,0.9015497290024937,0.03714003935091132,0.8925610313235925,0.053252878448072805,0.4229406107892372,0.07909759545603942,0.4594926339314885,0.10486557270650465,1.0,1.0,10
sample_1,Drowsy,Raw,60,0.8,0.8731540947824303,0.04954893032700616,0.8597307093921596,0.0610877312613739,0.4760771127252165,0.08954297668915064,0.5099454648872541,0.12243056500129995,1.0,1.0,10
